,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,61,48,46,51.0,,40,23,19,,3:57.543,3:56.827,4:06.801,,206.549,207.174,198.801,,30
1,98,53,47,,35.0,44,23,2,4,4:00.853,3:57.198,,4:44.651,203.71,206.849,,172.366,NC
2,55,55,48,42.0,31.0,39,24,21,6,4:01.200,3:57.596,3:59.469,4:36.723,203.417,206.503,204.888,177.305,44
3,83,50,49,46.0,,33,24,19,,3:59.294,3:57.742,4:03.676,,205.038,206.376,201.35,,27
4,50,54,51,55.0,27.0,26,18,12,6,4:01.177,3:58.018,4:27.530,4:32.498,203.437,206.137,183.397,180.054,37
5,60,57,52,47.0,23.0,34,24,21,10,4:02.432,3:58.760,4:03.851,4:25.994,202.384,205.496,201.206,184.456,35
6,78,52,53,40.0,,28,21,15,,4:00.418,3:59.245,3:59.034,,204.079,205.08,205.261,,41
7,88,51,54,37.0,28.0,37,26,22,11,3:59.592,3:59.861,3:57.513,4:33.443,204.783,204.553,206.575,179.43099999999995,28
8,62,49,55,49.0,,28,18,10,,3:59.103,4:00.008,4:05.643,,205.201,204.428,199.738,,26
9,86,58,56,52.0,19.0,24,22,10,9,4:03.783,4:01.046,4:09.283,4:24.017,201.262,203.547,196.822,185.838,33
10,89,56,57,43.0,,35,22,24,,4:02.191,4:01.215,4:00.107,,202.585,203.405,204.343,,DNF
11,57,59,58,50.0,29.0,30,21,16,10,4:04.526,4:02.326,4:05.822,4:33.533,200.651,202.472,199.593,179.372,39
12,99,60,59,,36.0,31,21,7,3,4:07.679,4:03.148,,5:12.788,198.096,201.788,,156.861,36
