,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,97,33,35,31,30,53,23,12,10,3:55.299,3:53.296,3:51.860,3:50.837,208.519,210.30900000000003,211.612,212.549,17
1,67,44,36,43,38,37,24,22,20,3:57.319,3:54.118,3:53.059,3:52.008,206.74400000000003,209.571,210.523,211.477,18
2,63,36,40,41,35,49,22,20,26,3:56.004,3:54.827,3:52.886,3:51.484,207.896,208.938,210.679,211.955,19
3,91,42,39,39,46,45,19,20,20,3:57.013,3:54.564,3:52.593,3:53.807,207.011,209.172,210.945,209.85,20
4,71,32,33,42,33,42,22,21,19,3:54.832,3:52.235,3:52.903,3:51.086,208.93400000000003,211.27,210.664,212.32,21
5,68,41,42,40,40,40,20,16,18,3:56.935,3:55.059,3:52.626,3:52.178,207.079,208.732,210.915,211.322,22
6,69,39,44,36,34,35,22,14,4,3:56.563,3:55.553,3:52.496,3:51.232,207.405,208.294,211.033,212.186,23
7,64,40,41,35,39,48,22,19,27,3:56.934,3:54.876,3:52.391,3:52.017,207.08,208.894,211.128,211.468,24
8,95,35,32,37,32,50,19,11,4,3:55.925,3:52.117,3:52.525,3:51.038,207.966,211.377,211.006,212.365,25
9,66,45,46,38,37,40,20,19,15,3:57.472,3:55.803,3:52.558,3:51.991,206.611,208.073,210.977,211.492,27
10,51,34,34,32,31,36,22,22,19,3:55.504,3:53.123,3:52.087,3:51.028,208.337,210.465,211.405,212.374,46
11,92,43,37,34,36,45,18,20,27,3:57.069,3:54.243,3:52.177,3:51.847,206.962,209.459,211.323,211.624,DNF
12,82,37,38,33,49,24,17,15,8,3:56.079,3:54.305,3:52.138,3:54.129,207.83,209.403,211.358,209.561,DNF
