,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,7,1,1,1,5,48,25.0,27.0,28,3:18.091,3:17.161,3:15.497,3:20.494,247.631,248.799,250.917,244.663,2
1,11,2,6,3,3,30,19.0,9.0,16,3:19.931,3:20.934,3:16.953,3:16.665,245.352,244.127,249.062,249.427,3
2,3,3,3,6,2,34,19.0,4.0,23,3:19.960,3:19.603,3:18.884,3:16.404,245.317,245.755,246.644,249.758,5
3,8,4,4,2,6,47,30.0,25.0,28,3:20.941,3:19.632,3:15.908,3:20.669,244.11900000000003,245.72,250.39,244.45,1
4,1,5,61,4,4,30,27.0,21.0,9,3:21.257,3:59.948,3:17.313,3:16.810,243.736,204.43400000000003,248.608,249.243,4
5,17,6,2,5,1,31,23.0,12.0,16,3:22.431,3:17.633,3:17.437,3:16.159,242.322,248.205,248.451,250.07,DNF
6,10,7,5,7,11,15,9.0,16.0,12,3:24.446,3:20.200,3:23.672,3:25.902,239.93400000000003,245.022,240.846,238.237,DNF
7,4,8,7,8,7,32,21.0,8.0,23,3:27.843,3:25.246,3:23.726,3:23.109,236.012,238.999,240.782,241.513,DNF
