,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,54,47,50,33,55,51,27,13,16.0,3:53.976,3:52.756,3:51.956,3:56.496,209.652,210.751,211.478,207.418,26
1,84,58,54,41,56,42,24,10,13.0,3:57.016,3:54.384,3:53.439,3:58.615,206.963,209.287,210.134,205.576,30
2,99,57,60,45,52,36,12,12,17.0,3:56.674,4:03.107,3:54.720,3:54.953,207.262,201.777,208.987,208.78,29
3,61,55,57,48,46,40,28,10,16.0,3:56.049,3:55.076,3:55.727,3:53.409,207.811,208.671,208.094,210.161,35
4,80,59,58,50,45,39,21,9,18.0,3:58.059,3:55.569,3:58.072,3:53.402,206.056,208.234,206.045,210.167,31
5,56,49,51,51,50,43,19,13,24.0,3:54.133,3:52.985,3:58.235,3:54.406,209.511,210.544,205.904,209.267,34
6,85,54,52,52,51,38,18,11,14.0,3:55.845,3:54.000,3:58.661,3:54.668,207.99,209.63,205.536,209.034,28
7,98,53,53,53,49,42,26,13,20.0,3:55.792,3:54.307,3:58.707,3:53.817,208.037,209.356,205.497,209.794,DNF
8,90,50,59,54,43,41,21,13,15.0,3:54.527,3:55.661,4:01.710,3:53.070,209.159,208.153,202.944,210.467,DNF
9,70,56,56,55,53,47,26,14,16.0,3:56.158,3:54.951,4:02.540,3:55.343,207.715,208.782,202.249,208.43400000000003,38
10,86,46,49,56,39,37,24,9,17.0,3:53.834,3:52.517,4:03.603,3:51.391,209.779,210.967,201.366,211.99400000000003,40
11,77,48,46,58,59,44,23,8,12.0,3:54.004,3:51.930,4:09.835,,209.627,211.501,196.343,,25
12,88,40,43,59,54,49,25,9,20.0,3:52.903,3:50.728,4:09.946,3:56.232,210.618,212.603,196.256,207.65,DNF
