,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,38,10,11,7,8,45,25,21,24,3:32.025,3:31.024,3:26.776,3:25.911,231.408,232.506,237.282,238.279,2
1,37,11,29,11,15,47,3,17,27,3:32.286,3:41.393,3:28.432,3:27.535,231.124,221.616,235.397,236.415,3
2,35,21,13,15,14,35,20,21,21,3:35.862,3:31.439,3:29.328,3:27.517,227.295,232.049,234.39,236.435,4
3,32,22,21,21,20,43,20,18,25,3:35.977,3:34.166,3:30.693,3:29.151,227.174,229.095,232.871,234.588,5
4,40,19,17,16,19,44,19,21,12,3:34.950,3:32.477,3:29.396,3:28.891,228.259,230.916,234.313,234.88,6
5,24,18,10,8,13,32,25,14,19,3:34.806,3:30.847,3:26.871,3:27.359,228.412,232.701,237.173,236.615,7
6,47,23,23,17,27,35,15,18,20,3:36.085,3:34.846,3:30.014,3:33.412,227.06,228.37,233.624,229.904,9
7,36,15,12,13,17,35,25,19,26,3:34.356,3:31.065,3:28.856,3:28.051,228.892,232.461,234.919,235.828,10
8,34,27,30,25,25,42,11,17,27,3:37.913,3:41.628,3:33.739,3:32.536,225.155,221.381,229.552,230.852,11
9,17,28,27,28,28,46,24,22,22,3:39.807,3:40.162,3:36.362,3:36.230,223.215,222.855,226.769,226.908,12
10,29,25,19,24,22,42,23,19,28,3:37.679,3:33.796,3:31.766,3:29.976,225.397,229.491,231.691,233.666,13
11,21,12,20,20,21,30,18,17,20,3:32.491,3:34.046,3:30.369,3:29.777,230.901,229.223,233.23,233.888,14
12,33,30,31,30,,41,22,3,,3:42.850,3:42.660,3:42.916,,220.167,220.355,220.102,,15
13,31,9,8,10,10,49,19,19,29,3:31.749,3:29.851,3:27.564,3:26.736,231.71,233.805,236.382,237.328,16
14,45,26,26,18,24,43,24,20,24,3:37.726,3:37.814,3:30.164,3:32.425,225.349,225.258,233.457,230.972,32
15,27,17,22,19,16,34,7,13,23,3:34.507,3:34.407,3:30.262,3:27.782,228.73,228.837,233.348,236.134,33
16,22,20,16,14,23,30,18,15,23,3:35.505,3:31.963,3:28.937,3:30.313,227.671,231.476,234.828,233.292,39
17,39,16,18,27,18,47,18,9,11,3:34.479,3:32.987,3:36.128,3:28.368,228.76,230.363,227.015,235.469,43
18,49,29,25,26,,32,23,22,,3:40.379,3:37.226,3:33.921,,222.636,225.867,229.357,,45
19,43,31,28,29,29,27,18,14,22,3:43.372,3:40.813,3:37.350,3:37.007,219.653,222.198,225.739,226.095,47
20,13,8,14,9,11,50,23,21,28,3:31.666,3:31.636,3:27.021,3:26.811,231.801,231.833,237.002,237.242,DSQ
21,23,24,24,23,26,44,24,18,5,3:36.096,3:35.559,3:31.346,3:32.888,227.049,227.614,232.152,230.47,DNF
22,28,13,7,22,12,47,22,23,24,3:32.910,3:29.333,3:31.085,3:27.108,230.446,234.384,232.439,236.902,DNF
23,25,14,9,5,9,37,23,16,23,3:34.053,3:30.502,3:25.549,3:26.521,229.216,233.082,238.699,237.575,DNF
24,26,7,15,12,7,47,25,17,26,3:30.363,3:31.945,3:28.580,3:25.352,233.236,231.495,235.23,238.928,DNF
