,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,92,29,33,29,34,20,25.0,18.0,20,3:52.149,3:50.468,3:49.388,3:49.196,211.302,212.843,213.845,214.024,29
1,94,30,32,36,41,21,25.0,22.0,26,3:52.464,3:50.278,3:50.810,3:50.593,211.015,213.019,212.528,212.728,27
2,71,31,35,35,35,25,18.0,21.0,18,3:52.743,3:50.850,3:50.623,3:49.391,210.762,212.491,212.7,213.842,DNF
3,66,32,49,40,36,19,16.0,16.0,17,3:52.778,3:53.793,3:51.601,3:49.511,210.731,209.816,211.802,213.73,25
4,51,33,39,38,39,20,26.0,19.0,22,3:52.844,3:52.128,3:51.019,3:49.655,210.671,211.321,212.335,213.596,20
5,82,34,46,41,32,30,23.0,20.0,20,3:52.969,3:53.498,3:51.818,3:49.108,210.558,210.081,211.603,214.106,30
6,67,35,28,45,29,17,23.0,23.0,20,3:53.027,3:49.530,3:52.831,3:48.112,210.506,213.713,210.683,215.041,23
7,93,36,29,32,31,22,23.0,20.0,19,3:53.157,3:49.558,3:50.171,3:48.907,210.388,213.687,213.118,214.294,22
8,91,37,31,31,42,25,25.0,18.0,23,3:53.182,3:50.099,3:49.921,3:51.039,210.366,213.18400000000003,213.349,212.317,21
9,63,38,38,30,30,33,24.0,21.0,21,3:53.343,3:52.109,3:49.424,3:48.830,210.221,211.338,213.811,214.366,28
10,97,39,30,43,40,29,27.0,21.0,24,3:53.802,3:50.037,3:52.283,3:50.383,209.808,213.242,211.18,212.921,44
11,95,40,34,42,28,29,25.0,9.0,24,3:53.904,3:50.812,3:51.948,3:48.000,209.716,212.526,211.485,215.147,DNF
12,68,41,44,34,33,17,19.0,18.0,19,3:54.055,3:53.053,3:50.486,3:49.116,209.581,210.482,212.826,214.099,DSQ
13,69,42,37,33,37,22,22.0,20.0,20,3:54.189,3:51.821,3:50.339,3:49.546,209.461,211.601,212.962,213.698,24
14,64,43,41,37,38,31,17.0,22.0,23,3:54.198,3:52.490,3:51.011,3:49.573,209.453,210.992,212.343,213.673,DNF
15,81,44,36,39,61,28,26.0,17.0,2,3:54.258,3:51.476,3:51.353,,209.399,211.916,212.029,,47
16,89,50,43,46,44,12,25.0,19.0,20,3:56.429,3:52.997,3:53.244,3:51.454,207.477,210.533,210.31,211.936,40
