,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,48,9,11,15,12,28,24.0,19.0,24,3:28.363,3:27.847,3:27.804,3:26.011,235.423,236.008,236.057,238.111,10
1,31,10,8,9,9,13,22.0,22.0,23,3:28.730,3:26.804,3:26.490,3:25.667,235.009,237.198,237.55900000000003,238.509,DNF
2,26,11,16,20,13,25,28.0,21.0,25,3:28.893,3:29.107,3:28.713,3:26.257,234.826,234.586,235.028,237.827,11
3,39,12,23,16,60,19,23.0,20.0,19,3:28.959,3:30.970,3:28.426,,234.752,232.514,235.352,,14
4,36,13,9,18,10,22,24.0,12.0,24,3:29.978,3:26.935,3:28.471,3:25.874,233.613,237.048,235.301,238.27,6
5,29,14,15,12,15,30,28.0,22.0,23,3:30.611,3:28.909,3:27.107,3:27.384,232.91,234.808,236.851,236.535,26
6,22,15,10,13,14,26,28.0,19.0,18,3:30.862,3:27.338,3:27.356,3:26.543,232.633,236.587,236.567,237.498,9
7,38,16,13,10,18,29,26.0,20.0,25,3:30.893,3:28.738,3:26.821,3:27.779,232.599,235.0,237.179,236.085,7
8,32,17,19,21,16,34,24.0,17.0,25,3:31.299,3:29.583,3:28.779,3:27.509,232.152,234.053,234.954,236.392,19
9,37,18,18,19,19,35,30.0,21.0,26,3:31.416,3:29.498,3:28.569,3:28.049,232.024,234.148,235.191,235.779,DNF
10,30,19,12,25,20,33,17.0,21.0,21,3:31.416,3:28.653,3:30.353,3:28.195,232.024,235.096,233.196,235.613,12
11,23,20,21,14,25,27,28.0,20.0,23,3:31.951,3:29.821,3:27.790,3:32.511,231.438,233.787,236.072,230.828,13
12,25,21,17,17,23,26,28.0,22.0,24,3:32.138,3:29.126,3:28.457,3:31.113,231.234,234.564,235.317,232.357,15
13,20,22,25,24,17,30,21.0,20.0,25,3:32.353,3:32.945,3:29.633,3:27.610,231.0,230.358,233.997,236.277,16
14,47,23,20,22,22,20,23.0,14.0,23,3:33.009,3:29.748,3:28.942,3:29.556,230.288,233.86900000000003,234.771,234.083,18
15,28,24,14,11,8,18,24.0,20.0,24,3:34.483,3:28.840,3:27.096,3:25.345,228.706,234.886,236.864,238.883,8
16,43,25,24,23,21,23,25.0,23.0,23,3:34.823,3:31.017,3:29.137,3:28.803,228.344,232.462,234.552,234.927,NC
17,34,26,22,26,24,16,27.0,23.0,20,3:36.237,3:30.744,3:30.823,3:31.491,226.851,232.763,232.676,231.941,45
18,49,27,26,28,26,35,25.0,8.0,21,3:36.241,3:35.480,3:44.799,3:34.146,226.846,227.648,218.21,229.066,DNF
19,50,28,27,27,27,27,16.0,22.0,24,3:38.171,3:38.663,3:36.144,3:34.913,224.84,224.334,226.948,228.248,17
