,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,28,12,10,8,25,51,26,11,21.0,3:27.817,3:25.240,3:25.291,3:38.752,236.042,239.006,238.946,224.242,DSQ
1,39,14,22,10,20,10,29,13,18.0,3:28.218,3:29.860,3:26.701,3:29.696,235.587,233.74400000000003,237.316,233.927,6
2,40,17,25,11,15,32,21,11,12.0,3:29.204,3:31.291,3:27.280,3:27.503,234.477,232.161,236.653,236.399,DNF
3,26,10,12,13,10,52,29,15,24.0,3:26.529,3:26.447,3:27.975,3:25.160,237.514,237.608,235.862,239.099,DSQ
4,23,20,21,14,11,43,27,13,17.0,3:30.168,3:29.421,3:28.008,3:25.376,233.401,234.234,235.825,238.847,13
5,36,21,14,15,14,24,28,10,20.0,3:30.750,3:26.681,3:28.069,3:27.297,232.757,237.33900000000003,235.756,236.634,5
6,32,23,24,16,18,50,26,14,27.0,3:31.056,3:30.347,3:28.159,3:29.299,232.419,233.203,235.654,234.37,7
7,47,18,17,17,58,41,28,11,,3:29.214,3:27.993,3:28.292,,234.466,235.842,235.504,,19
8,48,11,9,18,8,37,19,12,13.0,3:27.054,3:24.956,3:29.270,3:24.842,236.912,239.337,234.403,239.47,DNF
9,31,13,13,19,9,36,18,8,16.0,3:28.178,3:26.508,3:30.168,3:24.883,235.632,237.538,233.401,239.422,9
10,38,22,18,20,12,38,27,13,16.0,3:30.922,3:27.999,3:31.581,3:27.120,232.567,235.835,231.843,236.836,10
11,35,19,20,21,22,44,28,14,19.0,3:29.793,3:28.629,3:32.178,3:32.432,233.819,235.123,231.19,230.914,14
12,29,24,19,22,17,48,30,11,17.0,3:31.465,3:28.556,3:32.343,3:28.111,231.97,235.205,231.011,235.708,11
13,22,15,15,23,16,43,24,15,31.0,3:28.284,3:26.772,3:32.989,3:27.646,235.513,237.235,230.31,236.236,DNF
14,34,25,27,24,19,42,20,12,16.0,3:31.837,3:33.755,3:36.004,3:29.474,231.562,229.485,227.095,234.175,DNF
15,33,28,28,25,24,51,23,9,17.0,3:37.463,3:35.237,3:36.604,3:36.517,225.572,227.905,226.466,226.557,12
16,50,27,29,26,26,24,20,12,12.0,3:36.927,3:38.206,3:39.569,3:39.401,226.129,224.804,223.408,223.579,32
17,44,26,26,27,23,45,30,11,18.0,3:34.062,3:33.532,3:39.949,3:33.585,229.156,229.724,223.022,229.667,NC
18,37,16,16,28,13,24,26,12,17.0,3:29.135,3:27.468,3:40.074,3:27.226,234.554,236.439,222.895,236.715,8
19,25,29,30,29,27,51,28,14,17.0,3:42.404,3:44.177,3:46.772,3:39.518,220.56,218.816,216.312,223.46,DNF
