,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,68,36,33,30.0,20.0,32,22,18,7,3:54.893,3:51.185,3:53.672,4:24.174,208.879,212.23,209.971,185.727,18
1,69,40,34,29.0,,30,21,13,2,3:55.510,3:51.497,3:53.603,,208.332,211.943,210.033,,20
2,51,33,35,28.0,,33,24,15,2,3:53.833,3:51.568,3:53.218,,209.826,211.879,210.379,,DNF
3,67,38,36,33.0,34.0,31,24,20,5,3:55.436,3:51.590,3:55.750,4:43.500,208.398,211.858,208.12,173.06599999999997,40
4,66,37,37,38.0,,30,22,15,4,3:55.081,3:52.038,3:58.358,,208.712,211.449,205.843,,21
5,71,39,38,32.0,,32,26,13,,3:55.502,3:52.508,3:55.066,,208.33900000000003,211.022,208.726,,DNF
6,82,35,39,31.0,13.0,21,7,12,13,3:54.180,3:53.176,3:55.032,4:20.044,209.515,210.417,208.756,188.677,19
7,92,41,40,36.0,15.0,29,23,5,3,3:55.661,3:54.918,3:57.128,4:22.135,208.199,208.857,206.911,187.172,DNF
8,95,45,41,,30.0,46,20,,7,3:56.618,3:55.261,,4:34.298,207.357,208.553,,178.872,23
9,91,44,42,34.0,,31,23,6,3,3:56.506,3:55.332,3:56.792,,207.455,208.49,207.204,,DNF
10,97,47,43,,33.0,47,25,1,6,3:57.457,3:55.380,,4:40.166,206.624,208.447,,175.12599999999995,24
11,77,46,44,35.0,,27,24,17,,3:56.996,3:55.426,3:57.082,,207.026,208.406,206.951,,31
12,64,42,45,39.0,18.0,26,24,18,9,3:56.131,3:55.848,3:58.493,4:23.080,207.784,208.033,205.726,186.499,DNF
13,63,43,50,41.0,,28,21,18,,3:56.490,3:57.967,3:59.268,,207.469,206.181,205.06,,25
