,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2,3,3,3,5,56,21,21,15,3:21.687,3:19.710,3:18.067,3:20.154,243.27,245.678,247.716,245.133,1
1,8,4,2,59,1,50,26,2,32,3:21.775,3:19.431,,3:17.128,243.163,246.021,,248.896,8
2,1,1,5,2,2,50,21,21,30,3:20.362,3:21.165,3:17.259,3:18.210,244.878,243.901,248.73,247.537,DNF
3,9,5,4,4,3,54,27,20,31,3:21.975,3:19.958,3:19.889,3:18.625,242.923,245.373,245.458,247.02,DNF
4,7,2,1,1,4,51,26,22,28,3:20.966,3:18.793,3:14.791,3:19.928,244.142,246.811,251.882,245.41,DNF
5,4,6,6,6,6,24,21,4,12,3:27.828,3:28.887,3:26.026,3:24.170,236.081,234.884,238.146,240.311,DNF
