,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,8,2,1,1,1,55,31,16,34.0,3:19.275,3:17.270,3:18.021,3:15.377,246.16,248.662,247.719,251.071,1
1,7,1,2,2,2,54,33,14,37.0,3:18.718,3:17.377,3:19.860,3:17.523,246.85,248.527,245.439,248.343,2
2,3,3,5,3,7,39,27,6,24.0,3:19.426,3:19.945,3:22.000,3:24.156,245.973,245.335,242.83900000000003,240.275,3
3,11,5,7,4,57,47,29,3,,3:21.304,3:21.408,3:22.548,,243.679,243.553,242.182,,DNF
4,1,6,4,5,3,46,26,12,27.0,3:21.549,3:19.662,3:23.261,3:19.449,243.382,245.683,241.333,245.945,4
5,6,60,23,6,6,7,17,13,17.0,4:06.812,3:30.339,3:24.343,3:23.757,198.748,233.212,240.055,240.745,DNF
6,5,9,11,7,21,15,20,8,12.0,3:25.203,3:26.246,3:25.268,3:32.100,239.049,237.84,238.973,231.275,41
7,4,8,8,9,28,37,24,8,12.0,3:23.795,3:22.505,3:25.330,3:42.221,240.7,242.234,238.901,220.742,DNF
8,17,7,3,12,4,46,24,4,8.0,3:21.557,3:19.483,3:27.288,3:22.121,243.373,245.903,236.644,242.694,DNF
9,10,4,6,57,5,44,13,6,14.0,3:20.322,3:21.110,4:05.947,3:23.413,244.873,243.914,199.447,241.152,DNF
