,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,84,47,52,44,47,35,17,18,19,3:57.614,3:56.890,3:53.981,3:53.977,206.487,207.118,209.693,209.697,26
1,55,54,60,52,45,36,21,21,25,3:59.111,4:01.098,3:54.941,3:53.641,205.195,203.503,208.837,209.999,28
2,62,50,53,48,43,43,20,19,17,3:58.511,3:57.267,3:54.576,3:53.312,205.711,206.789,209.162,210.295,29
3,99,56,55,53,50,49,22,17,18,4:00.321,3:57.463,3:55.046,3:54.328,204.161,206.61900000000003,208.743,209.383,30
4,61,52,50,55,52,46,23,19,26,3:58.901,3:56.333,3:55.995,3:54.955,205.375,207.607,207.904,208.824,31
5,77,55,45,51,44,43,22,18,7,4:00.049,3:55.692,3:54.890,3:53.381,204.393,208.171,208.882,210.233,34
6,90,53,47,45,51,47,19,18,15,3:58.940,3:55.953,3:54.319,3:54.551,205.341,207.941,209.391,209.18400000000003,35
7,98,38,43,46,42,49,22,16,10,3:56.082,3:55.134,3:54.456,3:53.233,207.827,208.665,209.269,210.366,36
8,93,58,56,49,56,41,22,17,15,4:00.599,3:58.196,3:54.621,3:59.046,203.926,205.983,209.121,205.25,37
9,86,59,58,,55,45,21,,19,4:01.148,3:58.427,,3:56.469,203.461,205.783,,207.487,38
10,60,48,54,58,53,45,22,19,25,3:57.797,3:57.321,4:02.436,3:54.994,206.328,206.742,202.38,208.79,40
11,54,57,59,56,54,48,22,19,13,4:00.595,3:58.904,3:57.005,3:56.301,203.929,205.372,207.018,207.635,41
12,83,46,48,50,48,35,22,20,24,3:57.540,3:55.966,3:54.813,3:54.088,206.552,207.929,208.95,209.598,42
13,65,51,57,57,,39,19,12,,3:58.559,3:58.249,3:59.842,,205.669,205.937,204.569,,44
14,50,49,49,47,41,20,19,16,21,3:58.234,3:56.259,3:54.559,3:52.843,205.95,207.672,209.177,210.718,48
15,88,60,51,54,57,50,22,19,17,4:01.264,3:56.507,3:55.468,4:00.323,203.363,207.454,208.36900000000003,204.16,DNF
