,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
22,23,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,35,3:36.085,+ 15.723,+ 0.108,227.06,,
23,24,23,Panis Barthez Competition,Fabien Barthez/Timothe Buret/Nathanaël Berthon/,LMP2,44,3:36.096,+ 15.734,+ 0.011,227.049,,
24,25,29,Racing Team Nederland,Jan Lammers/Frits van Eerd/Rubens Barrichello/,LMP2,42,3:37.679,+ 17.317,+ 1.583,225.39700000000002,,
25,26,45,Algarve Pro Racing,Mark Patterson/Matt McMurry/Vincent Capillaire/,LMP2,43,3:37.726,+ 17.364,+ 0.047,225.34900000000002,,
26,27,34,Tockwith Motorsports,Nigel Moore/Philip Hanson/Karun Chandhok/,LMP2,42,3:37.913,+ 17.551,+ 0.187,225.155,,
27,28,17,Idec Sport Racing,Patrice Lafargue/Paul Lafargue/David Zollinger/,LMP2,46,3:39.807,+ 19.445,+ 1.894,223.215,,
28,29,49,ARC Bratislava,Miroslav Konopka/Konstantins Calko/Rik Breukers/,LMP2,32,3:40.379,+ 20.017,+ 0.572,222.636,,
29,30,33,Eurasia Motorsport,Jacques Nicolet/Pierre Nicolet/Erik Maris/,LMP2,41,3:42.850,+ 22.488,+ 2.471,220.167,,
30,31,43,Keating Motorsports,Ben Keating/Jeroen Bleekemolen/Ricky Taylor/,LMP2,27,3:43.372,+ 23.010,+ 0.522,219.653,,
31,32,71,AF Corse,Davide Rigon/Sam Bird/Miguel Molina/,GTE Pro,42,3:54.832,+ 34.470,+ 11.460,208.93400000000003,,
32,33,97,Aston Martin Racing,Darren Turner/Jonathan Adam/Daniel Serra/,GTE Pro,53,3:55.299,+ 34.937,+ 0.467,208.519,,
33,34,51,AF Corse,James Calado/Alessandro Pier Guidi/Michele Rugolo/,GTE Pro,36,3:55.504,+ 35.142,+ 0.205,208.33700000000002,,
34,35,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Richie Stanaway/,GTE Pro,50,3:55.925,+ 35.563,+ 0.421,207.96599999999998,,
35,36,63,Corvette Racing - GM,Jan Magnussen/Antonio García/Jordan Taylor/,GTE Pro,49,3:56.004,+ 35.642,+ 0.079,207.896,,
36,37,82,Risi Competizione,Toni Vilander/Giancarlo Fisichella/Pierre Kaffer/,GTE Pro,24,3:56.079,+ 35.717,+ 0.075,207.83,,
37,38,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,49,3:56.082,+ 35.720,+ 0.003,207.827,,
38,39,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,35,3:56.563,+ 36.201,+ 0.481,207.405,,
39,40,64,Corvette Racing - GM,Oliver Gavin/Tommy Milner/Marcel Fässler/,GTE Pro,48,3:56.934,+ 36.572,+ 0.371,207.08,,
40,41,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Tony Kanaan/,GTE Pro,40,3:56.935,+ 36.573,+ 0.001,207.079,,
41,42,91,Porsche GT Team,Richard Lietz/Frédéric Makowiecki/Patrick Pilet/,GTE Pro,45,3:57.013,+ 36.651,+ 0.078,207.011,,
42,43,92,Porsche GT Team,Michael Christensen/Kévin Estre/Dirk Werner/,GTE Pro,45,3:57.069,+ 36.707,+ 0.056,206.96200000000002,,
43,44,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Luis Felipe Derani/,GTE Pro,37,3:57.319,+ 36.957,+ 0.250,206.74400000000003,,
44,45,66,Ford Chip Ganassi Team UK,Stefan Mücke/Olivier Pla/Billy Johnson/,GTE Pro,40,3:57.472,+ 37.110,+ 0.153,206.611,,
45,46,83,DH Racing,Tracy Krohn/Nic Jönsson/Andrea Bertolini/,GTE Am,35,3:57.540,+ 37.178,+ 0.068,206.55200000000002,,
46,47,84,JMW Motorsport,Robert Smith/Will Stevens/Dries Vanthoor/,GTE Am,35,3:57.614,+ 37.252,+ 0.074,206.487,,
47,48,60,Clearwater Racing,Richard Wee/Hiroki Katoh/Álvaro Parente/,GTE Am,45,3:57.797,+ 37.435,+ 0.183,206.328,,
48,49,50,Larbre Compétition,Fernando Rees/Romain Brandela/Christian Philippon/,GTE Am,20,3:58.234,+ 37.872,+ 0.437,205.95,,
49,50,62,Scuderia Corsa,Cooper MacNeil/Bill Sweedler/Townsend Bell/,GTE Am,43,3:58.511,+ 38.149,+ 0.277,205.71099999999998,,
50,51,65,Scuderia Corsa,Christina Nielsen/Alessandro Balzan/Bret Curtis/,GTE Am,39,3:58.559,+ 38.197,+ 0.048,205.669,,
51,52,61,Clearwater Racing,Weng Sun Mok/Keita Sawa/Matt Griffin/,GTE Am,46,3:58.901,+ 38.539,+ 0.342,205.375,,
52,53,90,TF Sport,Salih Yoluc/Euan Hankey/Rob Bell/,GTE Am,47,3:58.940,+ 38.578,+ 0.039,205.34099999999998,,
53,54,55,Spirit of Race,Duncan Cameron/Aaron Scott/Marco Cioci/,GTE Am,36,3:59.111,+ 38.749,+ 0.171,205.195,,
54,55,77,Dempsey-Proton Racing,Christian Ried/Matteo Cairoli/Marvin Dienst/,GTE Am,43,4:00.049,+ 39.687,+ 0.938,204.393,,
55,56,99,Beechdean AMR,Andrew Howard/Ross Gunn/Oliver Bryant/,GTE Am,49,4:00.321,+ 39.959,+ 0.272,204.16099999999997,,
56,57,54,Spirit of Race,Thomas Flohr/Francesco Castellacci/Olivier Beretta/,GTE Am,48,4:00.595,+ 40.233,+ 0.274,203.929,,
57,58,93,Proton Competition,Patrick Long/Abdulaziz al Faisal/Mike Hedlund/,GTE Am,41,4:00.599,+ 40.237,+ 0.004,203.926,,
58,59,86,Gulf Racing,Michael Wainwright/Ben Barker/Nick Foster/,GTE Am,45,4:01.148,+ 40.786,+ 0.549,203.46099999999998,,
59,60,88,Proton Competition,Klaus Bachler/Stephane Lemeret/Khaled Al Qubaisi/,GTE Am,50,4:01.264,+ 40.902,+ 0.116,203.363,,
