,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,1,Porsche LMP Team,Neel Jani/André Lotterer/Nick Tandy/,LMP1,50,3:20.362,,,244.878,,
1,2,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Stéphane Sarrazin/,LMP1,51,3:20.966,+ 0.604,+ 0.604,244.142,,
2,3,2,Porsche LMP Team,Timo Bernhard/Earl Bamber/Brendon Hartley/,LMP1,56,3:21.687,+ 1.325,+ 0.721,243.27,,
3,4,8,Toyota Gazoo Racing,Sébastien Buemi/Anthony Davidson/Kazuki Nakajima/,LMP1,50,3:21.775,+ 1.413,+ 0.088,243.16299999999998,,
4,5,9,Toyota Gazoo Racing,Nicolas Lapierre/Yuji Kunimoto/Jose Maria Lopez/,LMP1,54,3:21.975,+ 1.613,+ 0.200,242.923,,
5,6,4,ByKOLLES Racing Team,Oliver Webb/Dominik Kraihamer/Marco Bonanomi/,LMP1,24,3:27.828,+ 7.466,+ 5.853,236.081,,
6,7,26,G-Drive Racing,Roman Rusinov/Pierre Thiriet/Alex Lynn/,LMP2,47,3:30.363,+ 10.001,+ 2.535,233.236,,
7,8,13,Vaillante Rebellion,Nelson Piquet Jr./David Heinemeier Hansson/Mathias Beche/,LMP2,50,3:31.666,+ 11.304,+ 1.303,231.801,,
8,9,31,Vaillante Rebellion,Nicolas Prost/Julien Canal/Bruno Senna/,LMP2,49,3:31.749,+ 11.387,+ 0.083,231.71,,
9,10,38,Jackie Chan DC Racing,Ho-Pin Tung/Thomas Laurent/Oliver Jarvis/,LMP2,45,3:32.025,+ 11.663,+ 0.276,231.408,,
10,11,37,Jackie Chan DC Racing,David Cheng/Tristan Gommendy/Alex Brundle/,LMP2,47,3:32.286,+ 11.924,+ 0.261,231.12400000000002,,
11,12,21,Dragonspeed - 10 Star,Henrik Hedman/Ben Hanley/Felix Rosenqvist/,LMP2,30,3:32.491,+ 12.129,+ 0.205,230.90099999999998,,
12,13,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Emmanuel Collard/,LMP2,47,3:32.910,+ 12.548,+ 0.419,230.446,,
13,14,25,CEFC Manor TRS Racing,Roberto González/Simon Trummer/Vitaly Petrov/,LMP2,37,3:34.053,+ 13.691,+ 1.143,229.21599999999998,,
14,15,36,Signatech Alpine Matmut,Romain Dumas/Gustavo Menezes/Matthew Rao/,LMP2,35,3:34.356,+ 13.994,+ 0.303,228.892,,
15,16,39,Graff,Enzo Guibbert/Eric Trouillet/James Winslow/,LMP2,47,3:34.479,+ 14.117,+ 0.123,228.76,,
16,17,27,SMP Racing,Mikhail Aleshin/Sergey Sirotkin/Viktor Shaitar/,LMP2,34,3:34.507,+ 14.145,+ 0.028,228.73,,
17,18,24,CEFC Manor TRS Racing,Tor Graves/Jonathan Hirschi/Jean-Eric Vergne/,LMP2,32,3:34.806,+ 14.444,+ 0.299,228.412,,
18,19,40,Graff,James Allen/Franck Matelli/Richard Bradley/,LMP2,44,3:34.950,+ 14.588,+ 0.144,228.25900000000001,,
19,20,22,G-Drive Racing,Memo Rojas/Ryo Hirakawa/Jose Gutiérrez/,LMP2,30,3:35.505,+ 15.143,+ 0.555,227.671,,
20,21,35,Signatech Alpine Matmut,Nelson Panciatici/Pierre Ragues/André Negrão/,LMP2,35,3:35.862,+ 15.500,+ 0.357,227.295,,
21,22,32,United Autosports,Will Owen/Hugo de Sadeleer/Filipe Albuquerque/,LMP2,43,3:35.977,+ 15.615,+ 0.115,227.174,,
