,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,7,LMP1,27.0,3:15.497,,,250.917,,
1,1,1,2,8,LMP1,25.0,3:15.908,+ 0.411,+ 0.411,250.39,,
2,2,2,3,11,LMP1,9.0,3:16.953,+ 1.456,+ 1.045,249.062,,
3,3,3,4,1,LMP1,21.0,3:17.313,+ 1.816,+ 0.360,248.608,,
4,4,4,5,17,LMP1,12.0,3:17.437,+ 1.940,+ 0.124,248.451,,
5,5,5,6,3,LMP1,4.0,3:18.884,+ 3.387,+ 1.447,246.644,,
6,6,6,7,10,LMP1,16.0,3:23.672,+ 8.175,+ 4.788,240.84599999999998,,
7,7,7,8,4,LMP1,8.0,3:23.726,+ 8.229,+ 0.054,240.782,,
8,8,8,9,31,LMP2,22.0,3:26.490,+ 10.993,+ 2.764,237.55900000000003,,
9,9,9,10,38,LMP2,20.0,3:26.821,+ 11.324,+ 0.331,237.179,,
10,10,10,11,28,LMP2,20.0,3:27.096,+ 11.599,+ 0.275,236.864,,
11,11,11,12,29,LMP2,22.0,3:27.107,+ 11.610,+ 0.011,236.851,,
12,12,12,13,22,LMP2,19.0,3:27.356,+ 11.859,+ 0.249,236.567,,
13,13,13,14,23,LMP2,20.0,3:27.790,+ 12.293,+ 0.434,236.072,,
14,14,14,15,48,LMP2,19.0,3:27.804,+ 12.307,+ 0.014,236.05700000000002,,
15,15,15,16,39,LMP2,20.0,3:28.426,+ 12.929,+ 0.622,235.352,,
16,16,16,17,25,LMP2,22.0,3:28.457,+ 12.960,+ 0.031,235.317,,
17,17,17,18,36,LMP2,12.0,3:28.471,+ 12.974,+ 0.014,235.301,,
18,18,18,19,37,LMP2,21.0,3:28.569,+ 13.072,+ 0.098,235.19099999999997,,
19,19,19,20,26,LMP2,21.0,3:28.713,+ 13.216,+ 0.144,235.028,,
20,20,20,21,32,LMP2,17.0,3:28.779,+ 13.282,+ 0.066,234.954,,
21,21,21,22,47,LMP2,14.0,3:28.942,+ 13.445,+ 0.163,234.771,,
22,22,22,23,43,LMP2,23.0,3:29.137,+ 13.640,+ 0.195,234.55200000000002,,
23,23,23,24,20,LMP2,20.0,3:29.633,+ 14.136,+ 0.496,233.997,,
24,24,24,25,30,LMP2,21.0,3:30.353,+ 14.856,+ 0.720,233.196,,
25,25,25,26,34,LMP2,23.0,3:30.823,+ 15.326,+ 0.470,232.676,,
26,26,26,27,50,LMP2,22.0,3:36.144,+ 20.647,+ 5.321,226.94799999999998,,
27,27,27,28,49,LMP2,8.0,3:44.799,+ 29.302,+ 8.655,218.21,,
28,28,28,29,92,GTE Pro,18.0,3:49.388,+ 33.891,+ 4.589,213.845,,
29,29,29,30,63,GTE Pro,21.0,3:49.424,+ 33.927,+ 0.036,213.81099999999998,,
30,30,30,31,91,GTE Pro,18.0,3:49.921,+ 34.424,+ 0.497,213.34900000000002,,
31,31,31,32,93,GTE Pro,20.0,3:50.171,+ 34.674,+ 0.250,213.118,,
32,32,32,33,69,GTE Pro,20.0,3:50.339,+ 34.842,+ 0.168,212.96200000000002,,
33,33,33,34,68,GTE Pro,18.0,3:50.486,+ 34.989,+ 0.147,212.826,,
34,34,34,35,71,GTE Pro,21.0,3:50.623,+ 35.126,+ 0.137,212.7,,
35,35,35,36,94,GTE Pro,22.0,3:50.810,+ 35.313,+ 0.187,212.528,,
36,36,36,37,64,GTE Pro,22.0,3:51.011,+ 35.514,+ 0.201,212.343,,
37,37,37,38,51,GTE Pro,19.0,3:51.019,+ 35.522,+ 0.008,212.335,,
38,38,38,39,81,GTE Pro,17.0,3:51.353,+ 35.856,+ 0.334,212.02900000000002,,
39,39,39,40,66,GTE Pro,16.0,3:51.601,+ 36.104,+ 0.248,211.80200000000002,,
40,40,40,41,82,GTE Pro,20.0,3:51.818,+ 36.321,+ 0.217,211.60299999999998,,
41,41,41,42,95,GTE Pro,9.0,3:51.948,+ 36.451,+ 0.130,211.485,,
42,42,42,43,97,GTE Pro,21.0,3:52.283,+ 36.786,+ 0.335,211.18,,
43,43,43,44,54,GTE Am,19.0,3:52.826,+ 37.329,+ 0.543,210.687,,
44,44,44,45,67,GTE Pro,23.0,3:52.831,+ 37.334,+ 0.005,210.683,,
45,45,45,46,89,GTE Pro,19.0,3:53.244,+ 37.747,+ 0.413,210.31,,
46,46,46,47,57,GTE Am,22.0,3:53.474,+ 37.977,+ 0.230,210.10299999999998,,
47,47,47,48,85,GTE Am,12.0,3:53.492,+ 37.995,+ 0.018,210.08599999999998,,
48,48,48,49,86,GTE Am,18.0,3:53.571,+ 38.074,+ 0.079,210.015,,
49,49,49,50,60,GTE Am,22.0,3:53.990,+ 38.493,+ 0.419,209.639,,
50,50,50,51,77,GTE Am,20.0,3:54.008,+ 38.511,+ 0.018,209.623,,
51,51,51,52,88,GTE Am,20.0,3:54.107,+ 38.610,+ 0.099,209.53400000000002,,
52,52,52,53,62,GTE Am,23.0,3:54.350,+ 38.853,+ 0.243,209.317,,
53,53,53,54,83,GTE Am,21.0,3:54.363,+ 38.866,+ 0.013,209.30599999999998,,
54,54,54,55,90,GTE Am,19.0,3:54.542,+ 39.045,+ 0.179,209.146,,
55,55,55,56,78,GTE Am,17.0,3:54.942,+ 39.445,+ 0.400,208.79,,
56,56,56,57,56,GTE Am,20.0,3:55.011,+ 39.514,+ 0.069,208.72799999999998,,
57,57,57,58,70,GTE Am,21.0,3:55.906,+ 40.409,+ 0.895,207.937,,
58,58,58,59,61,GTE Am,24.0,3:56.120,+ 40.623,+ 0.214,207.748,,
59,59,59,60,98,GTE Am,21.0,3:56.136,+ 40.639,+ 0.016,207.734,,
60,60,60,61,84,GTE Am,16.0,3:56.154,+ 40.657,+ 0.018,207.718,,
61,61,61,62,99,GTE Am,,,,,,,
