,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1.0,6,LMP1-H,14,3:50.934,,,212.46,,
1,1,1,2.0,7,LMP1-H,10,3:51.632,+ 0.698,+ 0.698,211.82,,
2,2,2,3.0,5,LMP1-H,13,3:51.693,+ 0.759,+ 0.061,211.764,,
3,3,3,4.0,2,LMP1-H,7,3:54.164,+ 3.230,+ 2.471,209.53,,
4,4,4,5.0,8,LMP1-H,8,3:57.475,+ 6.541,+ 3.311,206.608,,
5,5,5,6.0,1,LMP1-H,6,3:58.828,+ 7.894,+ 1.353,205.438,,
6,6,6,7.0,44,LMP2,10,4:11.686,+ 20.752,+ 12.858,194.942,,
7,7,7,8.0,49,LMP2,9,4:12.280,+ 21.346,+ 0.594,194.483,,
8,8,8,9.0,37,LMP2,11,4:14.389,+ 23.455,+ 2.109,192.87099999999998,,
9,9,9,10.0,4,LMP1,14,4:16.377,+ 25.443,+ 1.988,191.375,,
10,10,10,11.0,46,LMP2,11,4:16.988,+ 26.054,+ 0.611,190.92,,
11,11,11,12.0,41,LMP2,11,4:20.041,+ 29.107,+ 3.053,188.679,,
12,12,12,13.0,82,GTE Pro,13,4:20.044,+ 29.110,+ 0.003,188.67700000000002,,
13,13,13,14.0,47,LMP2,8,4:20.181,+ 29.247,+ 0.137,188.577,,
14,14,14,15.0,92,GTE Pro,3,4:22.135,+ 31.201,+ 1.954,187.172,,
15,15,15,16.0,26,LMP2,8,4:22.328,+ 31.394,+ 0.193,187.03400000000002,,
16,16,16,17.0,36,LMP2,4,4:22.855,+ 31.921,+ 0.527,186.65900000000002,,
17,17,17,18.0,64,GTE Pro,9,4:23.080,+ 32.146,+ 0.225,186.49900000000002,,
18,18,18,19.0,86,GTE Am,9,4:24.017,+ 33.083,+ 0.937,185.838,,
19,19,19,20.0,68,GTE Pro,7,4:24.174,+ 33.240,+ 0.157,185.727,,
20,20,20,21.0,25,LMP2,3,4:25.507,+ 34.573,+ 1.333,184.795,,
21,21,21,22.0,33,LMP2,4,4:25.627,+ 34.693,+ 0.120,184.71099999999998,,
22,22,22,23.0,60,GTE Am,10,4:25.994,+ 35.060,+ 0.367,184.456,,
23,23,23,24.0,40,LMP2,6,4:28.397,+ 37.463,+ 2.403,182.805,,
24,24,24,25.0,22,LMP2,10,4:29.210,+ 38.276,+ 0.813,182.253,,
25,25,25,26.0,34,LMP2,7,4:30.900,+ 39.966,+ 1.690,181.11599999999999,,
26,26,26,27.0,50,GTE Am,6,4:32.498,+ 41.564,+ 1.598,180.054,,
27,27,27,28.0,88,GTE Am,11,4:33.443,+ 42.509,+ 0.945,179.43099999999995,,
28,28,28,29.0,57,GTE Am,10,4:33.533,+ 42.599,+ 0.090,179.372,,
29,29,29,30.0,95,GTE Pro,7,4:34.298,+ 43.364,+ 0.765,178.872,,
30,30,30,31.0,55,GTE Am,6,4:36.723,+ 45.789,+ 2.425,177.305,,
31,31,31,32.0,42,LMP2,3,4:38.254,+ 47.320,+ 1.531,176.329,,
32,32,32,33.0,97,GTE Pro,6,4:40.166,+ 49.232,+ 1.912,175.12599999999995,,
33,33,33,34.0,67,GTE Pro,5,4:43.500,+ 52.566,+ 3.334,173.06599999999997,,
34,34,34,35.0,98,GTE Am,4,4:44.651,+ 53.717,+ 1.151,172.36599999999999,,
35,35,35,36.0,99,GTE Am,3,5:12.788,+ 1:21.854,+ 28.137,156.861,,
36,36,36,,66,GTE Pro,4,,,,,,
37,37,37,,30,LMP2,2,,,,,,
38,38,38,,27,LMP2,4,,,,,,
39,39,39,,51,GTE Pro,2,,,,,,
40,40,40,,23,LMP2,4,,,,,,
41,41,41,,91,GTE Pro,3,,,,,,
42,42,42,,84,CDNT,2,,,,,,
43,43,43,,69,GTE Pro,2,,,,,,
44,44,44,,38,LMP2,2,,,,,,
