,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
58,88,4,51,43,54.0,28.0,37,25.0,19.0,11,3.59,3.50,3.55,4.33,204.783,212.603,208.369,179.431,100
59,4,1,9,8,6.0,10.0,15,24.0,4.0,14,3.33,3.22,3.26,4.16,230.098,242.234,238.146,191.375,100
60,3,1,3,5,6.0,2,39,27.0,4.0,23,3.19,3.19,3.18,3.16,245.973,245.335,246.644,249.758,5
61,11,1,5,7,3.0,3,47,29.0,9.0,16,3.21,3.21,3.16,3.16,243.679,243.553,249.062,249.427,3
62,6,1,4,23,4.0,1.0,42,17.0,22.0,14,3.23,3.30,3.25,3.50,241.508,233.212,238.293,212.460,100
63,5,1,5,11,2.0,3.0,40,20.0,24.0,13,3.24,3.26,3.24,3.51,240.475,237.840,240.042,211.764,41
64,48,2,28,9,15.0,12,26,19.0,19.0,24,3.45,3.24,3.27,3.26,217.275,239.337,236.057,238.111,10
66,52,3,41,47,35.0,37,51,27.0,12.0,20.0,3.52,3.52,3.52,3.50,210.581,211.335,210.917,212.392,20
67,81,3,52,41,39.0,61,39,26.0,17.0,2,3.54,3.50,3.51,,209.038,212.725,212.029,nan,47
68,80,4,59,58,50.0,45,39,21.0,9.0,18.0,3.58,3.55,3.58,3.53,206.056,208.234,206.045,210.167,31
69,56,4,49,51,57.0,50,43,19.0,20.0,20,3.54,3.52,3.55,3.53,209.511,210.544,208.728,210.408,31
70,85,4,54,52,48.0,58,38,18.0,12.0,9,3.55,3.54,3.53,3.54,207.990,209.630,210.086,208.903,100
71,70,4,56,56,58.0,55,47,26.0,21.0,23,3.56,3.54,3.55,3.54,207.715,208.782,207.937,209.585,41
72,10,1,4,6,7.0,11,44,13.0,16.0,12,3.20,3.21,3.23,3.25,244.873,243.914,240.846,238.237,100
73,94,3,35,36,36.0,41,42,21.0,22.0,26,3.51,3.50,3.50,3.50,211.716,213.194,212.528,212.728,27
75,20,2,22,25,24.0,17,30,21.0,20.0,25,3.32,3.32,3.29,3.27,231.000,230.358,233.997,236.277,16
76,78,4,52,53,56.0,48,28,21.0,17.0,21,4.00,3.59,3.54,3.52,204.079,205.080,208.790,211.043,36
77,89,3,56,57,46.0,44,35,22.0,19.0,20,4.02,4.01,3.53,3.51,202.585,203.405,210.310,211.936,40
78,57,4,59,58,47.0,29.0,30,21.0,22.0,10,4.04,4.02,3.53,4.33,200.651,202.472,210.103,179.372,35
79,12,1,7,8,6.0,,43,26.0,9.0,,3.28,3.27,3.27,,235.845,236.628,236.371,,29
80,46,2,14,15,12.0,11.0,40,26.0,8.0,11,3.40,3.39,3.40,4.16,222.559,223.655,222.402,190.920,100
81,42,2,15,16,19.0,32.0,31,19.0,14.0,3,3.40,3.39,3.44,4.38,222.034,223.636,218.898,176.329,8
82,41,2,30,28,18.0,12.0,37,22.0,12.0,11,3.47,3.43,3.42,4.20,216.014,219.120,220.444,188.679,10
