,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,7,LMP1,22,3:14.791,,,251.882,,
1,1,1,2,1,LMP1,21,3:17.259,+ 2.468,+ 2.468,248.73,,
2,2,2,3,2,LMP1,21,3:18.067,+ 3.276,+ 0.808,247.71599999999998,,
3,3,3,4,9,LMP1,20,3:19.889,+ 5.098,+ 1.822,245.458,,
4,4,4,5,25,LMP2,16,3:25.549,+ 10.758,+ 5.660,238.699,,
5,5,5,6,4,LMP1,4,3:26.026,+ 11.235,+ 0.477,238.146,,
6,6,6,7,38,LMP2,21,3:26.776,+ 11.985,+ 0.750,237.282,,
7,7,7,8,24,LMP2,14,3:26.871,+ 12.080,+ 0.095,237.173,,
8,8,8,9,13,LMP2,21,3:27.021,+ 12.230,+ 0.150,237.002,,
9,9,9,10,31,LMP2,19,3:27.564,+ 12.773,+ 0.543,236.382,,
10,10,10,11,37,LMP2,17,3:28.432,+ 13.641,+ 0.868,235.39700000000002,,
11,11,11,12,26,LMP2,17,3:28.580,+ 13.789,+ 0.148,235.23,,
12,12,12,13,36,LMP2,19,3:28.856,+ 14.065,+ 0.276,234.919,,
13,13,13,14,22,LMP2,15,3:28.937,+ 14.146,+ 0.081,234.828,,
14,14,14,15,35,LMP2,21,3:29.328,+ 14.537,+ 0.391,234.39,,
15,15,15,16,40,LMP2,21,3:29.396,+ 14.605,+ 0.068,234.313,,
16,16,16,17,47,LMP2,18,3:30.014,+ 15.223,+ 0.618,233.62400000000002,,
17,17,17,18,45,LMP2,20,3:30.164,+ 15.373,+ 0.150,233.457,,
18,18,18,19,27,LMP2,13,3:30.262,+ 15.471,+ 0.098,233.34799999999998,,
19,19,19,20,21,LMP2,17,3:30.369,+ 15.578,+ 0.107,233.23,,
20,20,20,21,32,LMP2,18,3:30.693,+ 15.902,+ 0.324,232.87099999999998,,
21,21,21,22,28,LMP2,23,3:31.085,+ 16.294,+ 0.392,232.43900000000002,,
22,22,22,23,23,LMP2,18,3:31.346,+ 16.555,+ 0.261,232.15200000000002,,
23,23,23,24,29,LMP2,19,3:31.766,+ 16.975,+ 0.420,231.69099999999997,,
24,24,24,25,34,LMP2,17,3:33.739,+ 18.948,+ 1.973,229.55200000000002,,
25,25,25,26,49,LMP2,22,3:33.921,+ 19.130,+ 0.182,229.357,,
26,26,26,27,39,LMP2,9,3:36.128,+ 21.337,+ 2.207,227.015,,
27,27,27,28,17,LMP2,22,3:36.362,+ 21.571,+ 0.234,226.769,,
28,28,28,29,43,LMP2,14,3:37.350,+ 22.559,+ 0.988,225.739,,
29,29,29,30,33,LMP2,3,3:42.916,+ 28.125,+ 5.566,220.102,,
30,30,30,31,97,GTE Pro,12,3:51.860,+ 37.069,+ 8.944,211.612,,
31,31,31,32,51,GTE Pro,22,3:52.087,+ 37.296,+ 0.227,211.405,,
32,32,32,33,82,GTE Pro,15,3:52.138,+ 37.347,+ 0.051,211.358,,
33,33,33,34,92,GTE Pro,20,3:52.177,+ 37.386,+ 0.039,211.32299999999998,,
34,34,34,35,64,GTE Pro,19,3:52.391,+ 37.600,+ 0.214,211.128,,
35,35,35,36,69,GTE Pro,14,3:52.496,+ 37.705,+ 0.105,211.033,,
36,36,36,37,95,GTE Pro,11,3:52.525,+ 37.734,+ 0.029,211.00599999999997,,
37,37,37,38,66,GTE Pro,19,3:52.558,+ 37.767,+ 0.033,210.977,,
38,38,38,39,91,GTE Pro,20,3:52.593,+ 37.802,+ 0.035,210.945,,
39,39,39,40,68,GTE Pro,16,3:52.626,+ 37.835,+ 0.033,210.915,,
40,40,40,41,63,GTE Pro,20,3:52.886,+ 38.095,+ 0.260,210.679,,
41,41,41,42,71,GTE Pro,21,3:52.903,+ 38.112,+ 0.017,210.66400000000002,,
42,42,42,43,67,GTE Pro,22,3:53.059,+ 38.268,+ 0.156,210.523,,
43,43,43,44,84,GTE Am,18,3:53.981,+ 39.190,+ 0.922,209.69299999999998,,
44,44,44,45,90,GTE Am,18,3:54.319,+ 39.528,+ 0.338,209.391,,
45,45,45,46,98,GTE Am,16,3:54.456,+ 39.665,+ 0.137,209.269,,
46,46,46,47,50,GTE Am,16,3:54.559,+ 39.768,+ 0.103,209.17700000000002,,
47,47,47,48,62,GTE Am,19,3:54.576,+ 39.785,+ 0.017,209.162,,
48,48,48,49,93,GTE Am,17,3:54.621,+ 39.830,+ 0.045,209.12099999999998,,
49,49,49,50,83,GTE Am,20,3:54.813,+ 40.022,+ 0.192,208.95,,
50,50,50,51,77,GTE Am,18,3:54.890,+ 40.099,+ 0.077,208.882,,
51,51,51,52,55,GTE Am,21,3:54.941,+ 40.150,+ 0.051,208.83700000000002,,
52,52,52,53,99,GTE Am,17,3:55.046,+ 40.255,+ 0.105,208.743,,
53,53,53,54,88,GTE Am,19,3:55.468,+ 40.677,+ 0.422,208.36900000000003,,
54,54,54,55,61,GTE Am,19,3:55.995,+ 41.204,+ 0.527,207.90400000000002,,
55,55,55,56,54,GTE Am,19,3:57.005,+ 42.214,+ 1.010,207.018,,
56,56,56,57,65,GTE Am,12,3:59.842,+ 45.051,+ 2.837,204.56900000000002,,
57,57,57,58,60,GTE Am,19,4:02.436,+ 47.645,+ 2.594,202.38,,
58,58,58,59,8,LMP1,2,,,,,,
