,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
48,49,66,Ford Chip Ganassi Team UK,Stefan Mücke/Olivier Pla/Billy Johnson/,GTE Pro,16.0,3:53.793,+ 36.632,,209.81599999999997,,
49,50,90,TF Sport,Salih Yoluc/Euan Hankey/Charlie Eastwood/,GTE Am,22.0,3:53.974,+ 36.813,+ 0.181,209.65400000000002,,
50,51,78,Proton Competition,Louis Prette Jr./Philippe Prette/Vincent Abril/,GTE Am,21.0,3:54.324,+ 37.163,+ 0.350,209.34,,
51,52,84,JMW Motorsport,Jeffrey Segal/Rodrigo Baptista/Wei Lu/,GTE Am,23.0,3:54.513,+ 37.352,+ 0.189,209.172,,
52,53,70,MR Racing,Motoaki Ishikawa/Olivier Beretta/Eddie Cheever III/,GTE Am,27.0,3:54.737,+ 37.576,+ 0.224,208.972,,
53,54,86,Gulf Racing,Michael Wainwright/Ben Barker/Thomas Preining/,GTE Am,24.0,3:55.033,+ 37.872,+ 0.296,208.709,,
54,55,62,WeatherTech Racing,Cooper MacNeil/Toni Vilander/Robert Smith/,GTE Am,25.0,3:55.544,+ 38.383,+ 0.511,208.25599999999997,,
55,56,57,CarGuy Racing,Takeshi Kimura/Kei Cozzolino/Côme Ledogar/,GTE Am,21.0,3:56.034,+ 38.873,+ 0.490,207.824,,
56,57,61,Clearwater Racing,Luis Pérez-Companc/Matt Griffin/Matteo Cressoni/,GTE Am,22.0,3:56.072,+ 38.911,+ 0.038,207.79,,
57,58,60,Kessel Racing,Claudio Schiavoni/Sergio Pianezzola/Andrea Piccini/,GTE Am,22.0,3:56.147,+ 38.986,+ 0.075,207.72400000000002,,
58,59,83,Kessel Racing,Manuela Gostner/Rahel Frey/Michelle Gatting/,GTE Am,24.0,3:56.333,+ 39.172,+ 0.186,207.56099999999998,,
59,60,85,Keating Motorsports,Ben Keating/Jeroen Bleekemolen/Felipe Fraga/,GTE Am,23.0,3:56.579,+ 39.418,+ 0.246,207.345,,
60,61,1,Rebellion Racing,Neel Jani/André Lotterer/Bruno Senna/,LMP1,27.0,3:59.948,+ 42.787,+ 3.369,204.43400000000003,,
61,62,99,Dempsey-Proton Racing,Patrick Long/Tracy Krohn/Nic Jönsson/,GTE Am,,4:00.472,+ 43.311,+ 0.524,203.988,,
