,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
45,46,66,Ford Chip Ganassi Team UK,Stefan Mücke/Olivier Pla/Billy Johnson/,GTE Pro,20,3:55.803,+ 37.010,+ 0.111,208.07299999999998,,
46,47,90,TF Sport,Salih Yoluc/Euan Hankey/Rob Bell/,GTE Am,19,3:55.953,+ 37.160,+ 0.150,207.94099999999997,,
47,48,83,DH Racing,Tracy Krohn/Nic Jönsson/Andrea Bertolini/,GTE Am,22,3:55.966,+ 37.173,+ 0.013,207.929,,
48,49,50,Larbre Compétition,Fernando Rees/Romain Brandela/Christian Philippon/,GTE Am,19,3:56.259,+ 37.466,+ 0.293,207.672,,
49,50,61,Clearwater Racing,Weng Sun Mok/Keita Sawa/Matt Griffin/,GTE Am,23,3:56.333,+ 37.540,+ 0.074,207.607,,
50,51,88,Proton Competition,Klaus Bachler/Stephane Lemeret/Khaled Al Qubaisi/,GTE Am,22,3:56.507,+ 37.714,+ 0.174,207.454,,
51,52,84,JMW Motorsport,Robert Smith/Will Stevens/Dries Vanthoor/,GTE Am,17,3:56.890,+ 38.097,+ 0.383,207.118,,
52,53,62,Scuderia Corsa,Cooper MacNeil/Bill Sweedler/Townsend Bell/,GTE Am,20,3:57.267,+ 38.474,+ 0.377,206.78900000000002,,
53,54,60,Clearwater Racing,Richard Wee/Hiroki Katoh/Álvaro Parente/,GTE Am,22,3:57.321,+ 38.528,+ 0.054,206.74200000000002,,
54,55,99,Beechdean AMR,Andrew Howard/Ross Gunn/Oliver Bryant/,GTE Am,22,3:57.463,+ 38.670,+ 0.142,206.61900000000003,,
55,56,93,Proton Competition,Patrick Long/Abdulaziz al Faisal/Mike Hedlund/,GTE Am,22,3:58.196,+ 39.403,+ 0.733,205.983,,
56,57,65,Scuderia Corsa,Christina Nielsen/Alessandro Balzan/Bret Curtis/,GTE Am,19,3:58.249,+ 39.456,+ 0.053,205.937,,
57,58,86,Gulf Racing,Michael Wainwright/Ben Barker/Nick Foster/,GTE Am,21,3:58.427,+ 39.634,+ 0.178,205.783,,
58,59,54,Spirit of Race,Thomas Flohr/Francesco Castellacci/Olivier Beretta/,GTE Am,22,3:58.904,+ 40.111,+ 0.477,205.372,,
59,60,55,Spirit of Race,Duncan Cameron/Aaron Scott/Marco Cioci/,GTE Am,21,4:01.098,+ 42.305,+ 2.194,203.503,,
