,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Stéphane Sarrazin/,LMP1,26,3:18.793,,,246.81099999999998,,
1,2,8,Toyota Gazoo Racing,Sébastien Buemi/Anthony Davidson/Kazuki Nakajima/,LMP1,26,3:19.431,+ 0.638,+ 0.638,246.021,,
2,3,2,Porsche LMP Team,Timo Bernhard/Earl Bamber/Brendon Hartley/,LMP1,21,3:19.710,+ 0.917,+ 0.279,245.678,,
3,4,9,Toyota Gazoo Racing,Nicolas Lapierre/Yuji Kunimoto/Jose Maria Lopez/,LMP1,27,3:19.958,+ 1.165,+ 0.248,245.373,,
4,5,1,Porsche LMP Team,Neel Jani/André Lotterer/Nick Tandy/,LMP1,21,3:21.165,+ 2.372,+ 1.207,243.90099999999998,,
5,6,4,ByKOLLES Racing Team,Oliver Webb/Dominik Kraihamer/Marco Bonanomi/,LMP1,21,3:28.887,+ 10.094,+ 7.722,234.88400000000001,,
6,7,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Emmanuel Collard/,LMP2,22,3:29.333,+ 10.540,+ 0.446,234.38400000000001,,
7,8,31,Vaillante Rebellion,Nicolas Prost/Julien Canal/Bruno Senna/,LMP2,19,3:29.851,+ 11.058,+ 0.518,233.805,,
8,9,25,CEFC Manor TRS Racing,Roberto González/Simon Trummer/Vitaly Petrov/,LMP2,23,3:30.502,+ 11.709,+ 0.651,233.082,,
9,10,24,CEFC Manor TRS Racing,Tor Graves/Jonathan Hirschi/Jean-Eric Vergne/,LMP2,25,3:30.847,+ 12.054,+ 0.345,232.701,,
10,11,38,Jackie Chan DC Racing,Ho-Pin Tung/Thomas Laurent/Oliver Jarvis/,LMP2,25,3:31.024,+ 12.231,+ 0.177,232.50599999999997,,
11,12,36,Signatech Alpine Matmut,Romain Dumas/Gustavo Menezes/Matthew Rao/,LMP2,25,3:31.065,+ 12.272,+ 0.041,232.46099999999998,,
12,13,35,Signatech Alpine Matmut,Nelson Panciatici/Pierre Ragues/André Negrão/,LMP2,20,3:31.439,+ 12.646,+ 0.374,232.049,,
13,14,13,Vaillante Rebellion,Nelson Piquet Jr./David Heinemeier Hansson/Mathias Beche/,LMP2,23,3:31.636,+ 12.843,+ 0.197,231.833,,
14,15,26,G-Drive Racing,Roman Rusinov/Pierre Thiriet/Alex Lynn/,LMP2,25,3:31.945,+ 13.152,+ 0.309,231.495,,
15,16,22,G-Drive Racing,Memo Rojas/Ryo Hirakawa/Jose Gutiérrez/,LMP2,18,3:31.963,+ 13.170,+ 0.018,231.476,,
16,17,40,Graff,James Allen/Franck Matelli/Richard Bradley/,LMP2,19,3:32.477,+ 13.684,+ 0.514,230.916,,
17,18,39,Graff,Enzo Guibbert/Eric Trouillet/James Winslow/,LMP2,18,3:32.987,+ 14.194,+ 0.510,230.363,,
18,19,29,Racing Team Nederland,Jan Lammers/Frits van Eerd/Rubens Barrichello/,LMP2,23,3:33.796,+ 15.003,+ 0.809,229.49099999999999,,
19,20,21,Dragonspeed - 10 Star,Henrik Hedman/Ben Hanley/Felix Rosenqvist/,LMP2,18,3:34.046,+ 15.253,+ 0.250,229.22299999999998,,
20,21,32,United Autosports,Will Owen/Hugo de Sadeleer/Filipe Albuquerque/,LMP2,20,3:34.166,+ 15.373,+ 0.120,229.095,,
21,22,27,SMP Racing,Mikhail Aleshin/Sergey Sirotkin/Viktor Shaitar/,LMP2,7,3:34.407,+ 15.614,+ 0.241,228.83700000000002,,
22,23,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,15,3:34.846,+ 16.053,+ 0.439,228.37,,
23,24,23,Panis Barthez Competition,Fabien Barthez/Timothe Buret/Nathanaël Berthon/,LMP2,24,3:35.559,+ 16.766,+ 0.713,227.614,,
24,25,49,ARC Bratislava,Miroslav Konopka/Konstantins Calko/Rik Breukers/,LMP2,23,3:37.226,+ 18.433,+ 1.667,225.86700000000002,,
25,26,45,Algarve Pro Racing,Mark Patterson/Matt McMurry/Vincent Capillaire/,LMP2,24,3:37.814,+ 19.021,+ 0.588,225.25799999999998,,
26,27,17,Idec Sport Racing,Patrice Lafargue/Paul Lafargue/David Zollinger/,LMP2,24,3:40.162,+ 21.369,+ 2.348,222.855,,
27,28,43,Keating Motorsports,Ben Keating/Jeroen Bleekemolen/Ricky Taylor/,LMP2,18,3:40.813,+ 22.020,+ 0.651,222.19799999999998,,
28,29,37,Jackie Chan DC Racing,David Cheng/Tristan Gommendy/Alex Brundle/,LMP2,3,3:41.393,+ 22.600,+ 0.580,221.61599999999999,,
29,30,34,Tockwith Motorsports,Nigel Moore/Philip Hanson/Karun Chandhok/,LMP2,11,3:41.628,+ 22.835,+ 0.235,221.38099999999997,,
30,31,33,Eurasia Motorsport,Jacques Nicolet/Pierre Nicolet/Erik Maris/,LMP2,22,3:42.660,+ 23.867,+ 1.032,220.355,,
31,32,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Richie Stanaway/,GTE Pro,19,3:52.117,+ 33.324,+ 9.457,211.377,,
32,33,71,AF Corse,Davide Rigon/Sam Bird/Miguel Molina/,GTE Pro,22,3:52.235,+ 33.442,+ 0.118,211.27,,
33,34,51,AF Corse,James Calado/Alessandro Pier Guidi/Michele Rugolo/,GTE Pro,22,3:53.123,+ 34.330,+ 0.888,210.465,,
34,35,97,Aston Martin Racing,Darren Turner/Jonathan Adam/Daniel Serra/,GTE Pro,23,3:53.296,+ 34.503,+ 0.173,210.30900000000003,,
35,36,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Luis Felipe Derani/,GTE Pro,24,3:54.118,+ 35.325,+ 0.822,209.571,,
36,37,92,Porsche GT Team,Michael Christensen/Kévin Estre/Dirk Werner/,GTE Pro,18,3:54.243,+ 35.450,+ 0.125,209.459,,
37,38,82,Risi Competizione,Toni Vilander/Giancarlo Fisichella/Pierre Kaffer/,GTE Pro,17,3:54.305,+ 35.512,+ 0.062,209.403,,
38,39,91,Porsche GT Team,Richard Lietz/Frédéric Makowiecki/Patrick Pilet/,GTE Pro,19,3:54.564,+ 35.771,+ 0.259,209.172,,
39,40,63,Corvette Racing - GM,Jan Magnussen/Antonio García/Jordan Taylor/,GTE Pro,22,3:54.827,+ 36.034,+ 0.263,208.938,,
40,41,64,Corvette Racing - GM,Oliver Gavin/Tommy Milner/Marcel Fässler/,GTE Pro,22,3:54.876,+ 36.083,+ 0.049,208.894,,
41,42,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Tony Kanaan/,GTE Pro,20,3:55.059,+ 36.266,+ 0.183,208.732,,
42,43,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,22,3:55.134,+ 36.341,+ 0.075,208.665,,
43,44,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,22,3:55.553,+ 36.760,+ 0.419,208.294,,
44,45,77,Dempsey-Proton Racing,Christian Ried/Matteo Cairoli/Marvin Dienst/,GTE Am,22,3:55.692,+ 36.899,+ 0.139,208.171,,
