,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,17,SMP Racing,Stéphane Sarrazin/Egor Orudzhev/Sergey Sirotkin/,LMP1,16,3:16.159,,,250.07,,
1,2,3,Rebellion Racing,Thomas Laurent/Nathanaël Berthon/Gustavo Menezes/,LMP1,23,3:16.404,+ 0.245,+ 0.245,249.75799999999998,,
2,3,11,SMP Racing,Vitaly Petrov/Mikhail Aleshin/Stoffel Vandoorne/,LMP1,16,3:16.665,+ 0.506,+ 0.261,249.42700000000002,,
3,4,1,Rebellion Racing,Neel Jani/André Lotterer/Bruno Senna/,LMP1,9,3:16.810,+ 0.651,+ 0.145,249.243,,
4,5,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Jose Maria Lopez/,LMP1,28,3:20.494,+ 4.335,+ 3.684,244.66299999999998,,
5,6,8,Toyota Gazoo Racing,Sébastien Buemi/Kazuki Nakajima/Fernando Alonso/,LMP1,28,3:20.669,+ 4.510,+ 0.175,244.45,,
6,7,4,ByKOLLES Racing Team,Tom Dillmann/Oliver Webb/Paolo Ruberti/,LMP1,23,3:23.109,+ 6.950,+ 2.440,241.513,,
7,8,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Loïc Duval/,LMP2,24,3:25.345,+ 9.186,+ 2.236,238.88299999999998,,
8,9,31,DragonSpeed,Roberto González/Pastor Maldonado/Anthony Davidson/,LMP2,23,3:25.667,+ 9.508,+ 0.322,238.50900000000001,,
9,10,36,Signatech Alpine Matmut,Nicolas Lapierre/André Negrão/Pierre Thiriet/,LMP2,24,3:25.874,+ 9.715,+ 0.207,238.27,,
10,11,10,DragonSpeed,Henrik Hedman/Ben Hanley/Renger van der Zande/,LMP1,12,3:25.902,+ 9.743,+ 0.028,238.237,,
11,12,48,Idec Sport Racing,Paul Lafargue/Paul Loup Chatin/Memo Rojas/,LMP2,24,3:26.011,+ 9.852,+ 0.109,238.111,,
12,13,26,G-Drive Racing,Roman Rusinov/Job van Uitert/Jean-Eric Vergne/,LMP2,25,3:26.257,+ 10.098,+ 0.246,237.827,,
13,14,22,United Autosports,Philip Hanson/Filipe Albuquerque/Paul di Resta/,LMP2,18,3:26.543,+ 10.384,+ 0.286,237.498,,
14,15,29,Racing Team Nederland,Frits van Eerd/Giedo van der Garde/Nyck de Vries/,LMP2,23,3:27.384,+ 11.225,+ 0.841,236.535,,
15,16,32,United Autosports,Ryan Cullen/Alex Brundle/Will Owen/,LMP2,25,3:27.509,+ 11.350,+ 0.125,236.392,,
16,17,20,High Class Racing,Anders Fjordbach/Dennis Andersen/Mathias Beche/,LMP2,25,3:27.610,+ 11.451,+ 0.101,236.27700000000002,,
17,18,38,Jackie Chan DC Racing,Ho-Pin Tung/Stéphane Richelmi/Gabriel Aubry/,LMP2,25,3:27.779,+ 11.620,+ 0.169,236.085,,
18,19,37,Jackie Chan DC Racing,David Heinemeier Hansson/Jordan King/Ricky Taylor/,LMP2,26,3:28.049,+ 11.890,+ 0.270,235.77900000000002,,
19,20,30,Duqueine Engineering,Nicolas Jamin/Pierre Ragues/Romain Dumas/,LMP2,21,3:28.195,+ 12.036,+ 0.146,235.613,,
20,21,43,RLR M Sport/Tower Events,John Farano/Arjun Maini/Norman Nato/,LMP2,23,3:28.803,+ 12.644,+ 0.608,234.92700000000002,,
21,22,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,23,3:29.556,+ 13.397,+ 0.753,234.083,,
22,23,25,Algarve Pro Racing,David Zollinger/Andrea Pizzitola/John Falb/,LMP2,24,3:31.113,+ 14.954,+ 1.557,232.357,,
23,24,34,Inter Europol Competition,Jakub Smiechowski/James Winslow/Nigel Moore/,LMP2,20,3:31.491,+ 15.332,+ 0.378,231.94099999999997,,
24,25,23,Panis Barthez Competition,René Binder/Julien Canal/Will Stevens/,LMP2,23,3:32.511,+ 16.352,+ 1.020,230.828,,
25,26,49,ARC Bratislava,Miroslav Konopka/Henning Enqvist/Konstantin Tereschenko/,LMP2,21,3:34.146,+ 17.987,+ 1.635,229.06599999999997,,
26,27,50,Larbre Compétition,Erwin Creed/Romano Ricci/Nick Boulle/,LMP2,24,3:34.913,+ 18.754,+ 0.767,228.248,,
27,28,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Darren Turner/,GTE Pro,24,3:48.000,+ 31.841,+ 13.087,215.14700000000002,,
28,29,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Jonathan Bomarito/,GTE Pro,20,3:48.112,+ 31.953,+ 0.112,215.041,,
29,30,63,Corvette Racing,Jan Magnussen/Antonio García/Mike Rockenfeller/,GTE Pro,21,3:48.830,+ 32.671,+ 0.718,214.36599999999999,,
