,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
36,37.0,88,Abu Dhabi-Proton Racing,Khaled Al Qubaisi/David Heinemeier Hansson/Patrick Long/,GTE Am,22,3:57.513,+ 34.206,+ 0.385,206.575,,
37,38.0,66,Ford Chip Ganassi Team UK,Olivier Pla/Stefan Mücke/Billy Johnson/,GTE Pro,15,3:58.358,+ 35.051,+ 0.845,205.843,,
38,39.0,64,Corvette Racing,Oliver Gavin/Tommy Milner/Jordan Taylor/,GTE Pro,18,3:58.493,+ 35.186,+ 0.135,205.726,,
39,40.0,78,KCMG,Christian Ried/Wolf Henzler/Joël Camathias/,GTE Am,15,3:59.034,+ 35.727,+ 0.541,205.261,,
40,41.0,63,Corvette Racing,Jan Magnussen/Antonio García/Ricky Taylor/,GTE Pro,18,3:59.268,+ 35.961,+ 0.234,205.06,,
41,42.0,55,AF Corse,Duncan Cameron/Matt Griffin/Aaron Scott/,GTE Am,21,3:59.469,+ 36.162,+ 0.201,204.888,,
42,43.0,89,Proton Competition,Cooper MacNeil/Leh Keen/Marc Miller/,GTE Am,24,4:00.107,+ 36.800,+ 0.638,204.343,,
43,44.0,84,SRT41 By Oak Racing,Fréderic Sausset/Christophe Tinseau/Jean-Bernard Bouvet/,CDNT,9,4:01.607,+ 38.300,+ 1.500,203.075,,
44,45.0,38,G-Drive Racing,Simon Dolan/Jake Dennis/Giedo van der Garde/,LMP2,11,4:01.981,+ 38.674,+ 0.374,202.761,,
45,46.0,83,AF Corse,François Perrodo/Emmanuel Collard/Rui Águas/,GTE Am,19,4:03.676,+ 40.369,+ 1.695,201.35,,
46,47.0,60,Formula Racing,Johnny Laursen/Mikkel Mac/Christina Nielsen/,GTE Am,21,4:03.851,+ 40.544,+ 0.175,201.206,,
47,48.0,26,G-Drive Racing,Roman Rusinov/Will Stevens/René Rast/,LMP2,9,4:04.887,+ 41.580,+ 1.036,200.355,,
48,49.0,62,Scuderia Corsa,Bill Sweedler/Townsend Bell/Jeffrey Segal/,GTE Am,10,4:05.643,+ 42.336,+ 0.756,199.738,,
49,50.0,57,Team AAI,Johnny O'Connell/Oliver Bryant/Mark Patterson/,GTE Am,16,4:05.822,+ 42.515,+ 0.179,199.593,,
50,51.0,61,Clearwater Racing,Weng Sun Mok/Keita Sawa/Rob Bell/,GTE Am,19,4:06.801,+ 43.494,+ 0.979,198.801,,
51,52.0,86,Gulf Racing UK,Michael Wainwright/Adam Carroll/Ben Barker/,GTE Am,10,4:09.283,+ 45.976,+ 2.482,196.822,,
52,53.0,30,Extreme Speed Motorsports,Scott Sharp/Ed Brown/Johannes van Overbeek/,LMP2,13,4:14.456,+ 51.149,+ 5.173,192.82,,
53,54.0,33,Eurasia Motorsport,Pu Jun Jin/Tristan Gommendy/Nico Pieter De Bruijn/,LMP2,9,4:14.491,+ 51.184,+ 0.035,192.794,,
54,55.0,50,Larbre Compétition,Yutaka Yamagishi/Pierre Ragues/Jean Philippe Belloc/,GTE Am,12,4:27.530,+ 1:04.223,+ 13.039,183.39700000000002,,
55,,44,Manor,Tor Graves/Matthew Rao/Roberto Merhi/,LMP2,3,,,,,,
56,,99,Aston Martin Racing,Andrew Howard/Liam Griffin/Gary Hirsch/,GTE Am,7,,,,,,
57,,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,2,,,,,,
58,,97,Aston Martin Racing,Richie Stanaway/Fernando Rees/Jonathan Adam/,GTE Pro,1,,,,,,
