,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1.0,1,Porsche Team,Timo Bernhard/Mark Webber/Brendon Hartley/,LMP1-H,15,3:23.307,,,241.331,,
1,2.0,5,Toyota Gazoo Racing,Anthony Davidson/Sébastien Buemi/Kazuki Nakajima/,LMP1-H,24,3:24.399,+ 1.092,+ 1.092,240.042,,
2,3.0,2,Porsche Team,Romain Dumas/Neel Jani/Marc Lieb/,LMP1-H,15,3:25.511,+ 2.204,+ 1.112,238.743,,
3,4.0,6,Toyota Gazoo Racing,Stéphane Sarrazin/Mike Conway/Kamui Kobayashi/,LMP1-H,22,3:25.899,+ 2.592,+ 0.388,238.293,,
4,5.0,8,Audi Sport Team Joest,Lucas di Grassi/Loïc Duval/Oliver Jarvis/,LMP1-H,21,3:26.680,+ 3.373,+ 0.781,237.393,,
5,6.0,12,Rebellion Racing,Nicolas Prost/Nick Heidfeld/Nelson Piquet Jr./,LMP1,9,3:27.573,+ 4.266,+ 0.893,236.37099999999998,,
6,7.0,13,Rebellion Racing,Mathéo Tuscher/Alexandre Imperatori/Dominik Kraihamer/,LMP1,5,3:30.010,+ 6.703,+ 2.437,233.628,,
7,8.0,4,ByKOLLES Racing Team,Simon Trummer/Oliver Webb/Pierre Kaffer/,LMP1,10,3:34.168,+ 10.861,+ 4.158,229.093,,
8,9.0,35,Baxi DC Racing Alpine,David Cheng/Ho-Pin Tung/Nelson Panciatici/,LMP2,10,3:39.559,+ 16.252,+ 5.391,223.467,,
9,10.0,47,KCMG,Tsugio Matsuda/Matthew Howson/Richard Bradley/,LMP2,12,3:39.562,+ 16.255,+ 0.003,223.46400000000003,,
10,11.0,31,Extreme Speed Motorsports,Ryan Dalziel/Luis Felipe Derani/Christopher Cumming/,LMP2,14,3:40.436,+ 17.129,+ 0.874,222.578,,
11,12.0,46,Thiriet by TDS Racing,Pierre Thiriet/Mathias Beche/Ryo Hirakawa/,LMP2,8,3:40.611,+ 17.304,+ 0.175,222.40200000000002,,
12,13.0,36,Signatech Alpine,Gustavo Menezes/Nicolas Lapierre/Stéphane Richelmi/,LMP2,15,3:40.895,+ 17.588,+ 0.284,222.11599999999999,,
13,14.0,28,Pegasus Racing,Inès Taittinger/Rémy Striebig/Léo Roussel/,LMP2,8,3:41.285,+ 17.978,+ 0.390,221.72400000000002,,
14,15.0,27,SMP Racing,Nicolas Minassian/Maurizio Mediani/Mikhail Aleshin/,LMP2,20,3:41.457,+ 18.150,+ 0.172,221.55200000000002,,
15,16.0,37,SMP Racing,Vitaly Petrov/Viktor Shaitar/Kirill Ladygin/,LMP2,8,3:41.776,+ 18.469,+ 0.319,221.234,,
16,17.0,25,Algarve Pro Racing,Michael Munemann/Chris Hoy/Andrea Pizzitola/,LMP2,19,3:42.088,+ 18.781,+ 0.312,220.923,,
17,18.0,41,Greaves Motorsport,Memo Rojas/Julien Canal/Nathanaël Berthon/,LMP2,12,3:42.570,+ 19.263,+ 0.482,220.44400000000002,,
18,19.0,42,Strakka Racing,Nick Leventis/Danny Watts/Jonny Kane/,LMP2,14,3:44.142,+ 20.835,+ 1.572,218.898,,
19,20.0,43,RGR Sport by Morand,Ricardo González/Bruno Senna/Filipe Albuquerque/,LMP2,20,3:44.198,+ 20.891,+ 0.056,218.84400000000002,,
20,21.0,22,So24 ! By Lombard Racing,Vincent Capillaire/Erik Maris/Jonathan Coleman/,LMP2,15,3:44.347,+ 21.040,+ 0.149,218.69799999999998,,
21,22.0,23,Panis Barthez Competition,Fabien Barthez/Paul Loup Chatin/Timothe Buret/,LMP2,19,3:45.018,+ 21.711,+ 0.671,218.046,,
22,23.0,48,Murphy Prototypes,Ben Keating/Jeroen Bleekemolen/Marc Goossens/,LMP2,7,3:45.067,+ 21.760,+ 0.049,217.99900000000002,,
23,24.0,7,Audi Sport Team Joest,Marcel Fässler/André Lotterer/Benoît Tréluyer/,LMP1-H,16,3:45.468,+ 22.161,+ 0.401,217.611,,
24,25.0,34,Race Performance,Nicolas Niki Leutwiler/Shinji Nakano/James Winslow/,LMP2,11,3:45.711,+ 22.404,+ 0.243,217.377,,
25,26.0,40,Krohn Racing,Tracy Krohn/Nic Jönsson/João Barbosa/,LMP2,13,3:45.978,+ 22.671,+ 0.267,217.12,,
26,27.0,49,Michael Shank Racing,John Pew/Oswaldo Negri Jr./Laurens Vanthoor/,LMP2,19,3:51.759,+ 28.452,+ 5.781,211.704,,
27,28.0,51,AF Corse,Gianmaria Bruni/James Calado/Alessandro Pier Guidi/,GTE Pro,15,3:53.218,+ 29.911,+ 1.459,210.37900000000002,,
28,29.0,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,13,3:53.603,+ 30.296,+ 0.385,210.033,,
29,30.0,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Sebastien Bourdais/,GTE Pro,18,3:53.672,+ 30.365,+ 0.069,209.97099999999998,,
30,31.0,82,Risi Competizione,Giancarlo Fisichella/Toni Vilander/Matteo Malucelli/,GTE Pro,12,3:55.032,+ 31.725,+ 1.360,208.75599999999997,,
31,32.0,71,AF Corse,Davide Rigon/Sam Bird/Andrea Bertolini/,GTE Pro,13,3:55.066,+ 31.759,+ 0.034,208.726,,
32,33.0,67,Ford Chip Ganassi Team UK,Marino Franchitti/Andy Priaulx/Harry Tincknell/,GTE Pro,20,3:55.750,+ 32.443,+ 0.684,208.12,,
33,34.0,91,Porsche Motorsport,Patrick Pilet/Kévin Estre/Nick Tandy/,GTE Pro,6,3:56.792,+ 33.485,+ 1.042,207.204,,
34,35.0,77,Dempsey Racing - Proton,Richard Lietz/Michael Christensen/Philipp Eng/,GTE Pro,17,3:57.082,+ 33.775,+ 0.290,206.951,,
35,36.0,92,Porsche Motorsport,Frédéric Makowiecki/Earl Bamber/Jörg Bergmeister/,GTE Pro,5,3:57.128,+ 33.821,+ 0.046,206.91099999999997,,
