,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,8,LMP1,34.0,3:15.377,,,251.071,,
1,1,1,2,7,LMP1,37.0,3:17.523,+ 2.146,+ 2.146,248.343,,
2,2,2,3,1,LMP1,27.0,3:19.449,+ 4.072,+ 1.926,245.945,,
3,3,3,4,17,LMP1,8.0,3:22.121,+ 6.744,+ 2.672,242.69400000000002,,
4,4,4,5,10,LMP1,14.0,3:23.413,+ 8.036,+ 1.292,241.15200000000002,,
5,5,5,6,6,LMP1,17.0,3:23.757,+ 8.380,+ 0.344,240.745,,
6,6,6,7,3,LMP1,24.0,3:24.156,+ 8.779,+ 0.399,240.275,,
7,7,7,8,48,LMP2,13.0,3:24.842,+ 9.465,+ 0.686,239.47,,
8,8,8,9,31,LMP2,16.0,3:24.883,+ 9.506,+ 0.041,239.422,,
9,9,9,10,26,LMP2,24.0,3:25.160,+ 9.783,+ 0.277,239.09900000000002,,
10,10,10,11,23,LMP2,17.0,3:25.376,+ 9.999,+ 0.216,238.847,,
11,11,11,12,38,LMP2,16.0,3:27.120,+ 11.743,+ 1.744,236.83599999999998,,
12,12,12,13,37,LMP2,17.0,3:27.226,+ 11.849,+ 0.106,236.715,,
13,13,13,14,36,LMP2,20.0,3:27.297,+ 11.920,+ 0.071,236.63400000000001,,
14,14,14,15,40,LMP2,12.0,3:27.503,+ 12.126,+ 0.206,236.399,,
15,15,15,16,22,LMP2,31.0,3:27.646,+ 12.269,+ 0.143,236.236,,
16,16,16,17,29,LMP2,17.0,3:28.111,+ 12.734,+ 0.465,235.708,,
17,17,17,18,32,LMP2,27.0,3:29.299,+ 13.922,+ 1.188,234.37,,
18,18,18,19,34,LMP2,16.0,3:29.474,+ 14.097,+ 0.175,234.175,,
19,19,19,20,39,LMP2,18.0,3:29.696,+ 14.319,+ 0.222,233.92700000000002,,
20,20,20,21,5,LMP1,12.0,3:32.100,+ 16.723,+ 2.404,231.275,,
21,21,21,22,35,LMP2,19.0,3:32.432,+ 17.055,+ 0.332,230.91400000000002,,
22,22,22,23,44,LMP2,18.0,3:33.585,+ 18.208,+ 1.153,229.667,,
23,23,23,24,33,LMP2,17.0,3:36.517,+ 21.140,+ 2.932,226.55700000000002,,
24,24,24,25,28,LMP2,21.0,3:38.752,+ 23.375,+ 2.235,224.24200000000002,,
25,25,25,26,50,LMP2,12.0,3:39.401,+ 24.024,+ 0.649,223.579,,
26,26,26,27,25,LMP2,17.0,3:39.518,+ 24.141,+ 0.117,223.46,,
27,27,27,28,4,LMP1,12.0,3:42.221,+ 26.844,+ 2.703,220.74200000000002,,
28,28,28,29,51,GTE Pro,20.0,3:49.494,+ 34.117,+ 7.273,213.74599999999998,,
29,29,29,30,93,GTE Pro,18.0,3:49.589,+ 34.212,+ 0.095,213.658,,
30,30,30,31,69,GTE Pro,16.0,3:49.761,+ 34.384,+ 0.172,213.498,,
31,31,31,32,91,GTE Pro,17.0,3:50.141,+ 34.764,+ 0.380,213.145,,
32,32,32,33,66,GTE Pro,20.0,3:50.166,+ 34.789,+ 0.025,213.122,,
33,33,33,34,63,GTE Pro,20.0,3:50.242,+ 34.865,+ 0.076,213.05200000000002,,
34,34,34,35,71,GTE Pro,23.0,3:50.246,+ 34.869,+ 0.004,213.048,,
35,35,35,36,68,GTE Pro,16.0,3:50.706,+ 35.329,+ 0.460,212.623,,
36,36,36,37,52,GTE Pro,20.0,3:50.957,+ 35.580,+ 0.251,212.392,,
37,37,37,38,64,GTE Pro,21.0,3:51.124,+ 35.747,+ 0.167,212.239,,
38,38,38,39,86,GTE Am,17.0,3:51.391,+ 36.014,+ 0.267,211.99400000000003,,
39,39,39,40,92,GTE Pro,15.0,3:51.631,+ 36.254,+ 0.240,211.774,,
40,40,40,41,82,GTE Pro,23.0,3:52.123,+ 36.746,+ 0.492,211.325,,
41,41,41,42,67,GTE Pro,20.0,3:52.292,+ 36.915,+ 0.169,211.172,,
42,42,42,43,90,GTE Am,15.0,3:53.070,+ 37.693,+ 0.778,210.467,,
43,43,43,44,81,GTE Pro,20.0,3:53.078,+ 37.701,+ 0.008,210.46,,
44,44,44,45,80,GTE Am,18.0,3:53.402,+ 38.025,+ 0.324,210.167,,
45,45,45,46,61,GTE Am,16.0,3:53.409,+ 38.032,+ 0.007,210.16099999999997,,
46,46,46,47,95,GTE Pro,20.0,3:53.523,+ 38.146,+ 0.114,210.058,,
47,47,47,48,97,GTE Pro,23.0,3:53.534,+ 38.157,+ 0.011,210.049,,
48,48,48,49,98,GTE Am,20.0,3:53.817,+ 38.440,+ 0.283,209.794,,
49,49,49,50,56,GTE Am,24.0,3:54.406,+ 39.029,+ 0.589,209.267,,
50,50,50,51,85,GTE Am,14.0,3:54.668,+ 39.291,+ 0.262,209.03400000000002,,
51,51,51,52,99,GTE Am,17.0,3:54.953,+ 39.576,+ 0.285,208.78,,
52,52,52,53,70,GTE Am,16.0,3:55.343,+ 39.966,+ 0.390,208.43400000000003,,
53,53,53,54,88,GTE Am,20.0,3:56.232,+ 40.855,+ 0.889,207.65,,
54,54,54,55,54,GTE Am,16.0,3:56.496,+ 41.119,+ 0.264,207.418,,
55,55,55,56,84,GTE Am,13.0,3:58.615,+ 43.238,+ 2.119,205.576,,
56,56,56,57,11,LMP1,,,,,,,
57,57,57,58,47,LMP2,,,,,,,
58,58,58,59,77,GTE Am,12.0,,,,,,
59,59,59,60,94,GTE Pro,,,,,,,
