,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
25,26,23,Panis Barthez Competition,Fabien Barthez/Timothe Buret/Nathanaël Berthon/,LMP2,5,3:32.888,+ 15.760,+ 0.352,230.47,,
26,27,47,Cetilar Villorba Corse,Roberto Lacorte/Giorgio Sernagiotto/Andrea Belicchi/,LMP2,20,3:33.412,+ 16.284,+ 0.524,229.90400000000002,,
27,28,17,Idec Sport Racing,Patrice Lafargue/Paul Lafargue/David Zollinger/,LMP2,22,3:36.230,+ 19.102,+ 2.818,226.908,,
28,29,43,Keating Motorsports,Ben Keating/Jeroen Bleekemolen/Ricky Taylor/,LMP2,22,3:37.007,+ 19.879,+ 0.777,226.095,,
29,30,97,Aston Martin Racing,Darren Turner/Jonathan Adam/Daniel Serra/,GTE Pro,10,3:50.837,+ 33.709,+ 13.830,212.549,,
30,31,51,AF Corse,James Calado/Alessandro Pier Guidi/Michele Rugolo/,GTE Pro,19,3:51.028,+ 33.900,+ 0.191,212.37400000000002,,
31,32,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Richie Stanaway/,GTE Pro,4,3:51.038,+ 33.910,+ 0.010,212.365,,
32,33,71,AF Corse,Davide Rigon/Sam Bird/Miguel Molina/,GTE Pro,19,3:51.086,+ 33.958,+ 0.048,212.32,,
33,34,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,4,3:51.232,+ 34.104,+ 0.146,212.18599999999998,,
34,35,63,Corvette Racing - GM,Jan Magnussen/Antonio García/Jordan Taylor/,GTE Pro,26,3:51.484,+ 34.356,+ 0.252,211.955,,
35,36,92,Porsche GT Team,Michael Christensen/Kévin Estre/Dirk Werner/,GTE Pro,27,3:51.847,+ 34.719,+ 0.363,211.62400000000002,,
36,37,66,Ford Chip Ganassi Team UK,Stefan Mücke/Olivier Pla/Billy Johnson/,GTE Pro,15,3:51.991,+ 34.863,+ 0.144,211.49200000000002,,
37,38,67,Ford Chip Ganassi Team UK,Andy Priaulx/Harry Tincknell/Luis Felipe Derani/,GTE Pro,20,3:52.008,+ 34.880,+ 0.017,211.477,,
38,39,64,Corvette Racing - GM,Oliver Gavin/Tommy Milner/Marcel Fässler/,GTE Pro,27,3:52.017,+ 34.889,+ 0.009,211.468,,
39,40,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Tony Kanaan/,GTE Pro,18,3:52.178,+ 35.050,+ 0.161,211.322,,
40,41,50,Larbre Compétition,Fernando Rees/Romain Brandela/Christian Philippon/,GTE Am,21,3:52.843,+ 35.715,+ 0.665,210.718,,
41,42,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,10,3:53.233,+ 36.105,+ 0.390,210.36599999999999,,
42,43,62,Scuderia Corsa,Cooper MacNeil/Bill Sweedler/Townsend Bell/,GTE Am,17,3:53.312,+ 36.184,+ 0.079,210.295,,
43,44,77,Dempsey-Proton Racing,Christian Ried/Matteo Cairoli/Marvin Dienst/,GTE Am,7,3:53.381,+ 36.253,+ 0.069,210.233,,
44,45,55,Spirit of Race,Duncan Cameron/Aaron Scott/Marco Cioci/,GTE Am,25,3:53.641,+ 36.513,+ 0.260,209.99900000000002,,
45,46,91,Porsche GT Team,Richard Lietz/Frédéric Makowiecki/Patrick Pilet/,GTE Pro,20,3:53.807,+ 36.679,+ 0.166,209.85,,
46,47,84,JMW Motorsport,Robert Smith/Will Stevens/Dries Vanthoor/,GTE Am,19,3:53.977,+ 36.849,+ 0.170,209.697,,
47,48,83,DH Racing,Tracy Krohn/Nic Jönsson/Andrea Bertolini/,GTE Am,24,3:54.088,+ 36.960,+ 0.111,209.59799999999998,,
48,49,82,Risi Competizione,Toni Vilander/Giancarlo Fisichella/Pierre Kaffer/,GTE Pro,8,3:54.129,+ 37.001,+ 0.041,209.56099999999998,,
49,50,99,Beechdean AMR,Andrew Howard/Ross Gunn/Oliver Bryant/,GTE Am,18,3:54.328,+ 37.200,+ 0.199,209.38299999999998,,
50,51,90,TF Sport,Salih Yoluc/Euan Hankey/Rob Bell/,GTE Am,15,3:54.551,+ 37.423,+ 0.223,209.18400000000003,,
51,52,61,Clearwater Racing,Weng Sun Mok/Keita Sawa/Matt Griffin/,GTE Am,26,3:54.955,+ 37.827,+ 0.404,208.824,,
52,53,60,Clearwater Racing,Richard Wee/Hiroki Katoh/Álvaro Parente/,GTE Am,25,3:54.994,+ 37.866,+ 0.039,208.79,,
53,54,54,Spirit of Race,Thomas Flohr/Francesco Castellacci/Olivier Beretta/,GTE Am,13,3:56.301,+ 39.173,+ 1.307,207.635,,
54,55,86,Gulf Racing,Michael Wainwright/Ben Barker/Nick Foster/,GTE Am,19,3:56.469,+ 39.341,+ 0.168,207.487,,
55,56,93,Proton Competition,Patrick Long/Abdulaziz al Faisal/Mike Hedlund/,GTE Am,15,3:59.046,+ 41.918,+ 2.577,205.25,,
56,57,88,Proton Competition,Klaus Bachler/Stephane Lemeret/Khaled Al Qubaisi/,GTE Am,17,4:00.323,+ 43.195,+ 1.277,204.16,,
