,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,8,Toyota Gazoo Racing,Sébastien Buemi/Anthony Davidson/Kazuki Nakajima/,LMP1,32,3:17.128,,,248.896,,
1,2,1,Porsche LMP Team,Neel Jani/André Lotterer/Nick Tandy/,LMP1,30,3:18.210,+ 1.082,+ 1.082,247.537,,
2,3,9,Toyota Gazoo Racing,Nicolas Lapierre/Yuji Kunimoto/Jose Maria Lopez/,LMP1,31,3:18.625,+ 1.497,+ 0.415,247.02,,
3,4,7,Toyota Gazoo Racing,Mike Conway/Kamui Kobayashi/Stéphane Sarrazin/,LMP1,28,3:19.928,+ 2.800,+ 1.303,245.41,,
4,5,2,Porsche LMP Team,Timo Bernhard/Earl Bamber/Brendon Hartley/,LMP1,15,3:20.154,+ 3.026,+ 0.226,245.13299999999998,,
5,6,4,ByKOLLES Racing Team,Oliver Webb/Dominik Kraihamer/Marco Bonanomi/,LMP1,12,3:24.170,+ 7.042,+ 4.016,240.31099999999998,,
6,7,26,G-Drive Racing,Roman Rusinov/Pierre Thiriet/Alex Lynn/,LMP2,26,3:25.352,+ 8.224,+ 1.182,238.928,,
7,8,38,Jackie Chan DC Racing,Ho-Pin Tung/Thomas Laurent/Oliver Jarvis/,LMP2,24,3:25.911,+ 8.783,+ 0.559,238.27900000000002,,
8,9,25,CEFC Manor TRS Racing,Roberto González/Simon Trummer/Vitaly Petrov/,LMP2,23,3:26.521,+ 9.393,+ 0.610,237.575,,
9,10,31,Vaillante Rebellion,Nicolas Prost/Julien Canal/Bruno Senna/,LMP2,29,3:26.736,+ 9.608,+ 0.215,237.328,,
10,11,13,Vaillante Rebellion,Nelson Piquet Jr./David Heinemeier Hansson/Mathias Beche/,LMP2,28,3:26.811,+ 9.683,+ 0.075,237.24200000000002,,
11,12,28,TDS Racing,François Perrodo/Matthieu Vaxiviere/Emmanuel Collard/,LMP2,24,3:27.108,+ 9.980,+ 0.297,236.90200000000002,,
12,13,24,CEFC Manor TRS Racing,Tor Graves/Jonathan Hirschi/Jean-Eric Vergne/,LMP2,19,3:27.359,+ 10.231,+ 0.251,236.615,,
13,14,35,Signatech Alpine Matmut,Nelson Panciatici/Pierre Ragues/André Negrão/,LMP2,21,3:27.517,+ 10.389,+ 0.158,236.435,,
14,15,37,Jackie Chan DC Racing,David Cheng/Tristan Gommendy/Alex Brundle/,LMP2,27,3:27.535,+ 10.407,+ 0.018,236.415,,
15,16,27,SMP Racing,Mikhail Aleshin/Sergey Sirotkin/Viktor Shaitar/,LMP2,23,3:27.782,+ 10.654,+ 0.247,236.13400000000001,,
16,17,36,Signatech Alpine Matmut,Romain Dumas/Gustavo Menezes/Matthew Rao/,LMP2,26,3:28.051,+ 10.923,+ 0.269,235.828,,
17,18,39,Graff,Enzo Guibbert/Eric Trouillet/James Winslow/,LMP2,11,3:28.368,+ 11.240,+ 0.317,235.46900000000002,,
18,19,40,Graff,James Allen/Franck Matelli/Richard Bradley/,LMP2,12,3:28.891,+ 11.763,+ 0.523,234.88,,
19,20,32,United Autosports,Will Owen/Hugo de Sadeleer/Filipe Albuquerque/,LMP2,25,3:29.151,+ 12.023,+ 0.260,234.588,,
20,21,21,Dragonspeed - 10 Star,Henrik Hedman/Ben Hanley/Felix Rosenqvist/,LMP2,20,3:29.777,+ 12.649,+ 0.626,233.888,,
21,22,29,Racing Team Nederland,Jan Lammers/Frits van Eerd/Rubens Barrichello/,LMP2,28,3:29.976,+ 12.848,+ 0.199,233.666,,
22,23,22,G-Drive Racing,Memo Rojas/Ryo Hirakawa/Jose Gutiérrez/,LMP2,23,3:30.313,+ 13.185,+ 0.337,233.292,,
23,24,45,Algarve Pro Racing,Mark Patterson/Matt McMurry/Vincent Capillaire/,LMP2,24,3:32.425,+ 15.297,+ 2.112,230.972,,
24,25,34,Tockwith Motorsports,Nigel Moore/Philip Hanson/Karun Chandhok/,LMP2,27,3:32.536,+ 15.408,+ 0.111,230.852,,
