,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,1,2,Porsche Team,Romain Dumas/Neel Jani/Marc Lieb/,LMP1-H,44,3:22.011,,,242.87900000000002,,
1,2,1,Porsche Team,Timo Bernhard/Mark Webber/Brendon Hartley/,LMP1-H,47,3:22.550,+ 0.539,+ 0.539,242.233,,
2,3,8,Audi Sport Team Joest,Lucas di Grassi/Loïc Duval/Oliver Jarvis/,LMP1-H,37,3:22.985,+ 0.974,+ 0.435,241.71400000000003,,
3,4,6,Toyota Gazoo Racing,Stéphane Sarrazin/Mike Conway/Kamui Kobayashi/,LMP1-H,42,3:23.158,+ 1.147,+ 0.173,241.50799999999998,,
4,5,5,Toyota Gazoo Racing,Anthony Davidson/Sébastien Buemi/Kazuki Nakajima/,LMP1-H,40,3:24.031,+ 2.020,+ 0.873,240.475,,
5,6,7,Audi Sport Team Joest,Marcel Fässler/André Lotterer/Benoît Tréluyer/,LMP1-H,38,3:25.526,+ 3.515,+ 1.495,238.726,,
6,7,12,Rebellion Racing,Nicolas Prost/Nick Heidfeld/Nelson Piquet Jr./,LMP1,43,3:28.036,+ 6.025,+ 2.510,235.845,,
7,8,13,Rebellion Racing,Mathéo Tuscher/Alexandre Imperatori/Dominik Kraihamer/,LMP1,42,3:28.291,+ 6.280,+ 0.255,235.55599999999998,,
8,9,4,ByKOLLES Racing Team,Simon Trummer/Oliver Webb/Pierre Kaffer/,LMP1,15,3:33.232,+ 11.221,+ 4.941,230.09799999999998,,
9,10,47,KCMG,Tsugio Matsuda/Matthew Howson/Richard Bradley/,LMP2,34,3:39.133,+ 17.122,+ 5.901,223.90200000000002,,
10,11,36,Signatech Alpine,Gustavo Menezes/Nicolas Lapierre/Stéphane Richelmi/,LMP2,30,3:39.721,+ 17.710,+ 0.588,223.303,,
11,12,23,Panis Barthez Competition,Fabien Barthez/Paul Loup Chatin/Timothe Buret/,LMP2,42,3:40.308,+ 18.297,+ 0.587,222.708,,
12,13,33,Eurasia Motorsport,Pu Jun Jin/Tristan Gommendy/Nico Pieter De Bruijn/,LMP2,39,3:40.321,+ 18.310,+ 0.013,222.695,,
13,14,46,Thiriet by TDS Racing,Pierre Thiriet/Mathias Beche/Ryo Hirakawa/,LMP2,40,3:40.455,+ 18.444,+ 0.134,222.55900000000003,,
14,15,42,Strakka Racing,Nick Leventis/Danny Watts/Jonny Kane/,LMP2,31,3:40.976,+ 18.965,+ 0.521,222.03400000000002,,
15,16,30,Extreme Speed Motorsports,Scott Sharp/Ed Brown/Johannes van Overbeek/,LMP2,37,3:41.327,+ 19.316,+ 0.351,221.68200000000002,,
16,17,26,G-Drive Racing,Roman Rusinov/Will Stevens/René Rast/,LMP2,48,3:41.410,+ 19.399,+ 0.083,221.59900000000002,,
17,18,31,Extreme Speed Motorsports,Ryan Dalziel/Luis Felipe Derani/Christopher Cumming/,LMP2,37,3:42.116,+ 20.105,+ 0.706,220.895,,
18,19,49,Michael Shank Racing,John Pew/Oswaldo Negri Jr./Laurens Vanthoor/,LMP2,39,3:42.119,+ 20.108,+ 0.003,220.892,,
19,20,35,Baxi DC Racing Alpine,David Cheng/Ho-Pin Tung/Nelson Panciatici/,LMP2,25,3:42.143,+ 20.132,+ 0.024,220.868,,
20,21,44,Manor,Tor Graves/Matthew Rao/Roberto Merhi/,LMP2,32,3:42.866,+ 20.855,+ 0.723,220.15200000000002,,
21,22,27,SMP Racing,Nicolas Minassian/Maurizio Mediani/Mikhail Aleshin/,LMP2,37,3:43.407,+ 21.396,+ 0.541,219.618,,
22,23,38,G-Drive Racing,Simon Dolan/Jake Dennis/Giedo van der Garde/,LMP2,42,3:43.455,+ 21.444,+ 0.048,219.571,,
23,24,37,SMP Racing,Vitaly Petrov/Viktor Shaitar/Kirill Ladygin/,LMP2,30,3:43.828,+ 21.817,+ 0.373,219.205,,
24,25,43,RGR Sport by Morand,Ricardo González/Bruno Senna/Filipe Albuquerque/,LMP2,34,3:44.086,+ 22.075,+ 0.258,218.953,,
25,26,28,Pegasus Racing,Inès Taittinger/Rémy Striebig/Léo Roussel/,LMP2,28,3:44.118,+ 22.107,+ 0.032,218.922,,
26,27,25,Algarve Pro Racing,Michael Munemann/Chris Hoy/Andrea Pizzitola/,LMP2,26,3:44.983,+ 22.972,+ 0.865,218.08,,
27,28,48,Murphy Prototypes,Ben Keating/Jeroen Bleekemolen/Marc Goossens/,LMP2,26,3:45.817,+ 23.806,+ 0.834,217.275,,
28,29,34,Race Performance,Nicolas Niki Leutwiler/Shinji Nakano/James Winslow/,LMP2,39,3:46.130,+ 24.119,+ 0.313,216.97400000000002,,
29,30,41,Greaves Motorsport,Memo Rojas/Julien Canal/Nathanaël Berthon/,LMP2,37,3:47.135,+ 25.124,+ 1.005,216.014,,
30,31,22,So24 ! By Lombard Racing,Vincent Capillaire/Erik Maris/Jonathan Coleman/,LMP2,28,3:48.953,+ 26.942,+ 1.818,214.299,,
31,32,40,Krohn Racing,Tracy Krohn/Nic Jönsson/João Barbosa/,LMP2,21,3:49.988,+ 27.977,+ 1.035,213.334,,
32,33,51,AF Corse,Gianmaria Bruni/James Calado/Alessandro Pier Guidi/,GTE Pro,33,3:53.833,+ 31.822,+ 3.845,209.826,,
33,34,84,SRT41 By Oak Racing,Fréderic Sausset/Christophe Tinseau/Jean-Bernard Bouvet/,CDNT,18,3:53.893,+ 31.882,+ 0.060,209.77200000000002,,
34,35,82,Risi Competizione,Giancarlo Fisichella/Toni Vilander/Matteo Malucelli/,GTE Pro,21,3:54.180,+ 32.169,+ 0.287,209.515,,
35,36,68,Ford Chip Ganassi Team USA,Joey Hand/Dirk Muller/Sebastien Bourdais/,GTE Pro,32,3:54.893,+ 32.882,+ 0.713,208.87900000000002,,
36,37,66,Ford Chip Ganassi Team UK,Olivier Pla/Stefan Mücke/Billy Johnson/,GTE Pro,30,3:55.081,+ 33.070,+ 0.188,208.71200000000002,,
37,38,67,Ford Chip Ganassi Team UK,Marino Franchitti/Andy Priaulx/Harry Tincknell/,GTE Pro,31,3:55.436,+ 33.425,+ 0.355,208.398,,
38,39,71,AF Corse,Davide Rigon/Sam Bird/Andrea Bertolini/,GTE Pro,32,3:55.502,+ 33.491,+ 0.066,208.33900000000003,,
39,40,69,Ford Chip Ganassi Team USA,Ryan Briscoe/Richard Westbrook/Scott Dixon/,GTE Pro,30,3:55.510,+ 33.499,+ 0.008,208.332,,
40,41,92,Porsche Motorsport,Frédéric Makowiecki/Earl Bamber/Jörg Bergmeister/,GTE Pro,29,3:55.661,+ 33.650,+ 0.151,208.199,,
41,42,64,Corvette Racing,Oliver Gavin/Tommy Milner/Jordan Taylor/,GTE Pro,26,3:56.131,+ 34.120,+ 0.470,207.78400000000002,,
42,43,63,Corvette Racing,Jan Magnussen/Antonio García/Ricky Taylor/,GTE Pro,28,3:56.490,+ 34.479,+ 0.359,207.46900000000002,,
43,44,91,Porsche Motorsport,Patrick Pilet/Kévin Estre/Nick Tandy/,GTE Pro,31,3:56.506,+ 34.495,+ 0.016,207.455,,
44,45,95,Aston Martin Racing,Nicki Thiim/Marco Sørensen/Darren Turner/,GTE Pro,46,3:56.618,+ 34.607,+ 0.112,207.357,,
45,46,77,Dempsey Racing - Proton,Richard Lietz/Michael Christensen/Philipp Eng/,GTE Pro,27,3:56.996,+ 34.985,+ 0.378,207.02599999999998,,
46,47,97,Aston Martin Racing,Richie Stanaway/Fernando Rees/Jonathan Adam/,GTE Pro,47,3:57.457,+ 35.446,+ 0.461,206.62400000000002,,
47,48,61,Clearwater Racing,Weng Sun Mok/Keita Sawa/Rob Bell/,GTE Am,40,3:57.543,+ 35.532,+ 0.086,206.549,,
