,Pos,No,Team,Drivers,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
48,49,62,Scuderia Corsa,Bill Sweedler/Townsend Bell/Jeffrey Segal/,GTE Am,28,3:59.103,+ 37.092,+ 1.560,205.201,,
49,50,83,AF Corse,François Perrodo/Emmanuel Collard/Rui Águas/,GTE Am,33,3:59.294,+ 37.283,+ 0.191,205.03799999999998,,
50,51,88,Abu Dhabi-Proton Racing,Khaled Al Qubaisi/David Heinemeier Hansson/Patrick Long/,GTE Am,37,3:59.592,+ 37.581,+ 0.298,204.783,,
51,52,78,KCMG,Christian Ried/Wolf Henzler/Joël Camathias/,GTE Am,28,4:00.418,+ 38.407,+ 0.826,204.079,,
52,53,98,Aston Martin Racing,Paul Dalla Lana/Pedro Lamy/Mathias Lauda/,GTE Am,44,4:00.853,+ 38.842,+ 0.435,203.71,,
53,54,50,Larbre Compétition,Yutaka Yamagishi/Pierre Ragues/Jean Philippe Belloc/,GTE Am,26,4:01.177,+ 39.166,+ 0.324,203.437,,
54,55,55,AF Corse,Duncan Cameron/Matt Griffin/Aaron Scott/,GTE Am,39,4:01.200,+ 39.189,+ 0.023,203.417,,
55,56,89,Proton Competition,Cooper MacNeil/Leh Keen/Marc Miller/,GTE Am,35,4:02.191,+ 40.180,+ 0.991,202.585,,
56,57,60,Formula Racing,Johnny Laursen/Mikkel Mac/Christina Nielsen/,GTE Am,34,4:02.432,+ 40.421,+ 0.241,202.38400000000001,,
57,58,86,Gulf Racing UK,Michael Wainwright/Adam Carroll/Ben Barker/,GTE Am,24,4:03.783,+ 41.772,+ 1.351,201.262,,
58,59,57,Team AAI,Johnny O'Connell/Oliver Bryant/Mark Patterson/,GTE Am,30,4:04.526,+ 42.515,+ 0.743,200.65099999999998,,
59,60,99,Aston Martin Racing,Andrew Howard/Liam Griffin/Gary Hirsch/,GTE Am,31,4:07.679,+ 45.668,+ 3.153,198.09599999999998,,
