,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,8,LMP1,16,3:18.021,,,247.71900000000002,,
1,1,1,2,7,LMP1,14,3:19.860,+ 1.839,+ 1.839,245.43900000000002,,
2,2,2,3,3,LMP1,6,3:22.000,+ 3.979,+ 2.140,242.83900000000003,,
3,3,3,4,11,LMP1,3,3:22.548,+ 4.527,+ 0.548,242.18200000000002,,
4,4,4,5,1,LMP1,12,3:23.261,+ 5.240,+ 0.713,241.333,,
5,5,5,6,6,LMP1,13,3:24.343,+ 6.322,+ 1.082,240.055,,
6,6,6,7,5,LMP1,8,3:25.268,+ 7.247,+ 0.925,238.97299999999998,,
7,7,7,8,28,LMP2,11,3:25.291,+ 7.270,+ 0.023,238.946,,
8,8,8,9,4,LMP1,8,3:25.330,+ 7.309,+ 0.039,238.90099999999998,,
9,9,9,10,39,LMP2,13,3:26.701,+ 8.680,+ 1.371,237.31599999999997,,
10,10,10,11,40,LMP2,11,3:27.280,+ 9.259,+ 0.579,236.653,,
11,11,11,12,17,LMP1,4,3:27.288,+ 9.267,+ 0.008,236.644,,
12,12,12,13,26,LMP2,15,3:27.975,+ 9.954,+ 0.687,235.862,,
13,13,13,14,23,LMP2,13,3:28.008,+ 9.987,+ 0.033,235.825,,
14,14,14,15,36,LMP2,10,3:28.069,+ 10.048,+ 0.061,235.75599999999997,,
15,15,15,16,32,LMP2,14,3:28.159,+ 10.138,+ 0.090,235.65400000000002,,
16,16,16,17,47,LMP2,11,3:28.292,+ 10.271,+ 0.133,235.50400000000002,,
17,17,17,18,48,LMP2,12,3:29.270,+ 11.249,+ 0.978,234.403,,
18,18,18,19,31,LMP2,8,3:30.168,+ 12.147,+ 0.898,233.40099999999998,,
19,19,19,20,38,LMP2,13,3:31.581,+ 13.560,+ 1.413,231.843,,
20,20,20,21,35,LMP2,14,3:32.178,+ 14.157,+ 0.597,231.19,,
21,21,21,22,29,LMP2,11,3:32.343,+ 14.322,+ 0.165,231.011,,
22,22,22,23,22,LMP2,15,3:32.989,+ 14.968,+ 0.646,230.31,,
23,23,23,24,34,LMP2,12,3:36.004,+ 17.983,+ 3.015,227.095,,
24,24,24,25,33,LMP2,9,3:36.604,+ 18.583,+ 0.600,226.46599999999998,,
25,25,25,26,50,LMP2,12,3:39.569,+ 21.548,+ 2.965,223.408,,
26,26,26,27,44,LMP2,11,3:39.949,+ 21.928,+ 0.380,223.02200000000002,,
27,27,27,28,37,LMP2,12,3:40.074,+ 22.053,+ 0.125,222.895,,
28,28,28,29,25,LMP2,14,3:46.772,+ 28.751,+ 6.698,216.312,,
29,29,29,30,93,GTE Pro,13,3:49.621,+ 31.600,+ 2.849,213.628,,
30,30,30,31,92,GTE Pro,14,3:51.101,+ 33.080,+ 1.480,212.26,,
31,31,31,32,91,GTE Pro,12,3:51.150,+ 33.129,+ 0.049,212.215,,
32,32,32,33,54,GTE Am,13,3:51.956,+ 33.935,+ 0.806,211.47799999999998,,
33,33,33,34,69,GTE Pro,13,3:52.298,+ 34.277,+ 0.342,211.166,,
34,34,34,35,52,GTE Pro,12,3:52.572,+ 34.551,+ 0.274,210.917,,
35,35,35,36,66,GTE Pro,8,3:52.849,+ 34.828,+ 0.277,210.666,,
36,36,36,37,64,GTE Pro,12,3:52.923,+ 34.902,+ 0.074,210.6,,
37,37,37,38,63,GTE Pro,12,3:52.994,+ 34.973,+ 0.071,210.535,,
38,38,38,39,51,GTE Pro,12,3:53.032,+ 35.011,+ 0.038,210.50099999999998,,
39,39,39,40,68,GTE Pro,11,3:53.352,+ 35.331,+ 0.320,210.21200000000002,,
40,40,40,41,84,GTE Am,10,3:53.439,+ 35.418,+ 0.087,210.13400000000001,,
41,41,41,42,67,GTE Pro,11,3:53.883,+ 35.862,+ 0.444,209.735,,
42,42,42,43,71,GTE Pro,13,3:53.998,+ 35.977,+ 0.115,209.632,,
43,43,43,44,82,GTE Pro,14,3:53.999,+ 35.978,+ 0.001,209.63099999999997,,
44,44,44,45,99,GTE Am,12,3:54.720,+ 36.699,+ 0.721,208.987,,
45,45,45,46,81,GTE Pro,13,3:55.150,+ 37.129,+ 0.430,208.605,,
46,46,46,47,97,GTE Pro,11,3:55.424,+ 37.403,+ 0.274,208.362,,
47,47,47,48,61,GTE Am,10,3:55.727,+ 37.706,+ 0.303,208.09400000000002,,
48,48,48,49,95,GTE Pro,11,3:56.630,+ 38.609,+ 0.903,207.3,,
49,49,49,50,80,GTE Am,9,3:58.072,+ 40.051,+ 1.442,206.045,,
50,50,50,51,56,GTE Am,13,3:58.235,+ 40.214,+ 0.163,205.90400000000002,,
51,51,51,52,85,GTE Am,11,3:58.661,+ 40.640,+ 0.426,205.53599999999997,,
52,52,52,53,98,GTE Am,13,3:58.707,+ 40.686,+ 0.046,205.497,,
53,53,53,54,90,GTE Am,13,4:01.710,+ 43.689,+ 3.003,202.94400000000002,,
54,54,54,55,70,GTE Am,14,4:02.540,+ 44.519,+ 0.830,202.24900000000002,,
55,55,55,56,86,GTE Am,9,4:03.603,+ 45.582,+ 1.063,201.36599999999999,,
56,56,56,57,10,LMP1,6,4:05.947,+ 47.926,+ 2.344,199.447,,
57,57,57,58,77,GTE Am,8,4:09.835,+ 51.814,+ 3.888,196.343,,
58,58,58,59,88,GTE Am,9,4:09.946,+ 51.925,+ 0.111,196.25599999999997,,
59,59,59,60,94,GTE Pro,1,,,,,,
