,Unnamed: 0,Unnamed: 0.1,Pos,No,Class,Laps,Time,Gap,Interval,Kph,Best,Lap
0,0,0,1,7,LMP1,48,3:18.091,,,247.63099999999997,,
1,1,1,2,11,LMP1,30,3:19.931,+ 1.840,+ 1.840,245.352,,
2,2,2,3,3,LMP1,34,3:19.960,+ 1.869,+ 0.029,245.317,,
3,3,3,4,8,LMP1,47,3:20.941,+ 2.850,+ 0.981,244.11900000000003,,
4,4,4,5,1,LMP1,30,3:21.257,+ 3.166,+ 0.316,243.736,,
5,5,5,6,17,LMP1,31,3:22.431,+ 4.340,+ 1.174,242.322,,
6,6,6,7,10,LMP1,15,3:24.446,+ 6.355,+ 2.015,239.93400000000003,,
7,7,7,8,4,LMP1,32,3:27.843,+ 9.752,+ 3.397,236.012,,
8,8,8,9,48,LMP2,28,3:28.363,+ 10.272,+ 0.520,235.423,,
9,9,9,10,31,LMP2,13,3:28.730,+ 10.639,+ 0.367,235.00900000000001,,
10,10,10,11,26,LMP2,25,3:28.893,+ 10.802,+ 0.163,234.826,,
11,11,11,12,39,LMP2,19,3:28.959,+ 10.868,+ 0.066,234.752,,
12,12,12,13,36,LMP2,22,3:29.978,+ 11.887,+ 1.019,233.613,,
13,13,13,14,29,LMP2,30,3:30.611,+ 12.520,+ 0.633,232.91,,
14,14,14,15,22,LMP2,26,3:30.862,+ 12.771,+ 0.251,232.63299999999998,,
15,15,15,16,38,LMP2,29,3:30.893,+ 12.802,+ 0.031,232.59900000000002,,
16,16,16,17,32,LMP2,34,3:31.299,+ 13.208,+ 0.406,232.15200000000002,,
17,17,17,18,37,LMP2,35,3:31.416,+ 13.325,+ 0.117,232.024,,
18,18,18,19,30,LMP2,33,3:31.416,+ 13.325,,232.024,,
19,19,19,20,23,LMP2,27,3:31.951,+ 13.860,+ 0.535,231.438,,
20,20,20,21,25,LMP2,26,3:32.138,+ 14.047,+ 0.187,231.234,,
21,21,21,22,20,LMP2,30,3:32.353,+ 14.262,+ 0.215,231.0,,
22,22,22,23,47,LMP2,20,3:33.009,+ 14.918,+ 0.656,230.28799999999998,,
23,23,23,24,28,LMP2,18,3:34.483,+ 16.392,+ 1.474,228.706,,
24,24,24,25,43,LMP2,23,3:34.823,+ 16.732,+ 0.340,228.34400000000002,,
25,25,25,26,34,LMP2,16,3:36.237,+ 18.146,+ 1.414,226.851,,
26,26,26,27,49,LMP2,35,3:36.241,+ 18.150,+ 0.004,226.84599999999998,,
27,27,27,28,50,LMP2,27,3:38.171,+ 20.080,+ 1.930,224.84,,
28,28,28,29,92,GTE Pro,20,3:52.149,+ 34.058,+ 13.978,211.30200000000002,,
29,29,29,30,94,GTE Pro,21,3:52.464,+ 34.373,+ 0.315,211.015,,
30,30,30,31,71,GTE Pro,25,3:52.743,+ 34.652,+ 0.279,210.762,,
31,31,31,32,66,GTE Pro,19,3:52.778,+ 34.687,+ 0.035,210.731,,
32,32,32,33,51,GTE Pro,20,3:52.844,+ 34.753,+ 0.066,210.671,,
33,33,33,34,82,GTE Pro,30,3:52.969,+ 34.878,+ 0.125,210.558,,
34,34,34,35,67,GTE Pro,17,3:53.027,+ 34.936,+ 0.058,210.50599999999997,,
35,35,35,36,93,GTE Pro,22,3:53.157,+ 35.066,+ 0.130,210.388,,
36,36,36,37,91,GTE Pro,25,3:53.182,+ 35.091,+ 0.025,210.36599999999999,,
37,37,37,38,63,GTE Pro,33,3:53.343,+ 35.252,+ 0.161,210.22099999999998,,
38,38,38,39,97,GTE Pro,29,3:53.802,+ 35.711,+ 0.459,209.808,,
39,39,39,40,95,GTE Pro,29,3:53.904,+ 35.813,+ 0.102,209.71599999999998,,
40,40,40,41,68,GTE Pro,17,3:54.055,+ 35.964,+ 0.151,209.581,,
41,41,41,42,69,GTE Pro,22,3:54.189,+ 36.098,+ 0.134,209.46099999999998,,
42,42,42,43,64,GTE Pro,31,3:54.198,+ 36.107,+ 0.009,209.453,,
43,43,43,44,81,GTE Pro,28,3:54.258,+ 36.167,+ 0.060,209.399,,
44,44,44,45,77,GTE Am,21,3:55.304,+ 37.213,+ 1.046,208.46900000000002,,
45,45,45,46,54,GTE Am,28,3:55.686,+ 37.595,+ 0.382,208.13099999999997,,
46,46,46,47,98,GTE Am,31,3:55.714,+ 37.623,+ 0.028,208.106,,
47,47,47,48,78,GTE Am,20,3:56.046,+ 37.955,+ 0.332,207.813,,
48,48,48,49,88,GTE Am,29,3:56.282,+ 38.191,+ 0.236,207.606,,
49,49,49,50,89,GTE Pro,12,3:56.429,+ 38.338,+ 0.147,207.477,,
50,50,50,51,84,GTE Am,21,3:57.017,+ 38.926,+ 0.588,206.96200000000002,,
51,51,51,52,86,GTE Am,20,3:57.137,+ 39.046,+ 0.120,206.857,,
52,52,52,53,83,GTE Am,32,3:57.463,+ 39.372,+ 0.326,206.57299999999998,,
53,53,53,54,57,GTE Am,29,3:57.480,+ 39.389,+ 0.017,206.558,,
54,54,54,55,70,GTE Am,26,3:57.991,+ 39.900,+ 0.511,206.115,,
55,55,55,56,62,GTE Am,18,3:58.280,+ 40.189,+ 0.289,205.865,,
56,56,56,57,56,GTE Am,26,3:58.326,+ 40.235,+ 0.046,205.825,,
57,57,57,58,90,GTE Am,24,3:58.522,+ 40.431,+ 0.196,205.65599999999998,,
58,58,58,59,61,GTE Am,21,3:58.933,+ 40.842,+ 0.411,205.30200000000002,,
59,59,59,60,85,GTE Am,15,3:59.660,+ 41.569,+ 0.727,204.679,,
60,60,60,61,60,GTE Am,27,3:59.948,+ 41.857,+ 0.288,204.43400000000003,,
61,61,61,62,99,GTE Am,8,4:00.472,+ 42.381,+ 0.524,203.988,,
